 frequency              r_VOUT                 i_VOUT                
 3.905410294116406e+01  1.125685537610116e+00 -4.264383152339798e-05 
 3.981071705534999e+01  1.125685537547829e+00 -4.347282469264214e-05 
 4.058198942243826e+01  1.125685537483106e+00 -4.431782449774935e-05 
 4.136820402388535e+01  1.125685537415851e+00 -4.517914206650955e-05 
 4.216965034285851e+01  1.125685537345963e+00 -4.605709453489054e-05 
 4.298662347082306e+01  1.125685537273343e+00 -4.695200516380767e-05 
 4.381942421619467e+01  1.125685537197880e+00 -4.786420345814720e-05 
 4.466835921509661e+01  1.125685537119466e+00 -4.879402528809045e-05 
 4.553374104426280e+01  1.125685537037983e+00 -4.974181301277977e-05 
 4.641588833612811e+01  1.125685536953312e+00 -5.070791560637534e-05 
 4.731512589614837e+01  1.125685536865329e+00 -5.169268878654684e-05 
 4.823178482239340e+01  1.125685536773905e+00 -5.269649514544782e-05 
 4.916620262745678e+01  1.125685536678903e+00 -5.371970428322175e-05 
 5.011872336272758e+01  1.125685536580187e+00 -5.476269294408871e-05 
 5.108969774506964e+01  1.125685536477605e+00 -5.582584515506099e-05 
 5.207948328595500e+01  1.125685536371011e+00 -5.690955236734261e-05 
 5.308844442309921e+01  1.125685536260249e+00 -5.801421360045997e-05 
 5.411695265464675e+01  1.125685536145152e+00 -5.914023558918047e-05 
 5.516538667595619e+01  1.125685536025551e+00 -6.028803293327198e-05 
 5.623413251903531e+01  1.125685535901274e+00 -6.145802825015793e-05 
 5.732358369467754e+01  1.125685535772132e+00 -6.265065233052329e-05 
 5.843414133735218e+01  1.125685535637939e+00 -6.386634429693253e-05 
 5.956621435290148e+01  1.125685535498496e+00 -6.510555176551293e-05 
 6.072021956909929e+01  1.125685535353597e+00 -6.636873101076615e-05 
 6.189658188912651e+01  1.125685535203031e+00 -6.765634713356845e-05 
 6.309573444801979e+01  1.125685535046572e+00 -6.896887423241881e-05 
 6.431811877215135e+01  1.125685534883994e+00 -7.030679557800319e-05 
 6.556418494179837e+01  1.125685534715055e+00 -7.167060379113189e-05 
 6.683439175686196e+01  1.125685534539507e+00 -7.306080102412317e-05 
 6.812920690579664e+01  1.125685534357090e+00 -7.447789914569427e-05 
 6.944910713781265e+01  1.125685534167538e+00 -7.592241992943100e-05 
 7.079457843841433e+01  1.125685533970570e+00 -7.739489524590363e-05 
 7.216611620833937e+01  1.125685533765894e+00 -7.889586725850051e-05 
 7.356422544596469e+01  1.125685533553213e+00 -8.042588862305276e-05 
 7.498942093324617e+01  1.125685533332210e+00 -8.198552269131983e-05 
 7.644222742526063e+01  1.125685533102561e+00 -8.357534371841542e-05 
 7.792317984342003e+01  1.125685532863929e+00 -8.519593707424748e-05 
 7.943282347242878e+01  1.125685532615961e+00 -8.684789945904947e-05 
 8.097171416105684e+01  1.125685532358290e+00 -8.853183912308499e-05 
 8.254041852680250e+01  1.125685532090539e+00 -9.024837609060471e-05 
 8.413951416452018e+01  1.125685531812315e+00 -9.199814238813749e-05 
 8.576958985909010e+01  1.125685531523203e+00 -9.378178227720131e-05 
 8.743124580220807e+01  1.125685531222781e+00 -9.559995249152030e-05 
 8.912509381337527e+01  1.125685530910607e+00 -9.745332247883181e-05 
 9.085175756516942e+01  1.125685530586220e+00 -9.934257464737618e-05 
 9.261187281288011e+01  1.125685530249143e+00 -1.012684046171580e-04 
 9.440608762859311e+01  1.125685529898877e+00 -1.032315214760720e-04 
 9.623506263980966e+01  1.125685529534907e+00 -1.052326480409883e-04 
 9.809947127268855e+01  1.125685529156701e+00 -1.072725211238926e-04 
 1.000000000000008e+02  1.125685528763696e+00 -1.093518918031764e-04 
 1.019373485938881e+02  1.125685528355316e+00 -1.114715257001857e-04 
 1.039122303835178e+02  1.125685527930961e+00 -1.136322032611197e-04 
 1.059253725177298e+02  1.125685527490004e+00 -1.158347200443890e-04 
 1.079775162327719e+02  1.125685527031796e+00 -1.180798870135398e-04 
 1.100694171252219e+02  1.125685526555659e+00 -1.203685308358473e-04 
 1.122018454301973e+02  1.125685526060896e+00 -1.227014941866948e-04 
 1.143755863049548e+02  1.125685525546777e+00 -1.250796360598437e-04 
 1.165914401179842e+02  1.125685525012544e+00 -1.275038320837127e-04 
 1.188502227437029e+02  1.125685524457412e+00 -1.299749748437838e-04 
 1.211527658628599e+02  1.125685523880559e+00 -1.324939742112477e-04 
 1.234999172687595e+02  1.125685523281140e+00 -1.350617576780199e-04 
 1.258925411794178e+02  1.125685522658271e+00 -1.376792706982369e-04 
 1.283315185557662e+02  1.125685522011033e+00 -1.403474770363731e-04 
 1.308177474260206e+02  1.125685521338474e+00 -1.430673591220955e-04 
 1.333521432163336e+02  1.125685520639605e+00 -1.458399184119916e-04 
 1.359356390878538e+02  1.125685519913392e+00 -1.486661757583032e-04 
 1.385691862803140e+02  1.125685519158767e+00 -1.515471717848017e-04 
