 frequency       onoise_spectrum inoise_spectrum
 5.75439937e+02  1.29234491e-06  4.07042705e-08 
 5.88843655e+02  1.27856191e-06  4.02701558e-08 
 6.02559586e+02  1.26493305e-06  3.98408958e-08 
 6.16595002e+02  1.25145664e-06  3.94164373e-08 
 6.30957344e+02  1.23813101e-06  3.89967280e-08 
 6.45654229e+02  1.22495451e-06  3.85817159e-08 
 6.60693448e+02  1.21192552e-06  3.81713498e-08 
 6.76082975e+02  1.19904244e-06  3.77655791e-08 
 6.91830971e+02  1.18630365e-06  3.73643535e-08 
 7.07945784e+02  1.17370761e-06  3.69676236e-08 
 7.24435960e+02  1.16125274e-06  3.65753403e-08 
 7.41310241e+02  1.14893751e-06  3.61874553e-08 
 7.58577575e+02  1.13676041e-06  3.58039206e-08 
 7.76247117e+02  1.12471992e-06  3.54246889e-08 
 7.94328235e+02  1.11281457e-06  3.50497134e-08 
 8.12830516e+02  1.10104288e-06  3.46789479e-08 
 8.31763771e+02  1.08940340e-06  3.43123466e-08 
 8.51138038e+02  1.07789469e-06  3.39498643e-08 
 8.70963590e+02  1.06651534e-06  3.35914563e-08 
 8.91250938e+02  1.05526395e-06  3.32370783e-08 
 9.12010839e+02  1.04413911e-06  3.28866868e-08 
 9.33254301e+02  1.03313948e-06  3.25402384e-08 
 9.54992586e+02  1.02226368e-06  3.21976904e-08 
 9.77237221e+02  1.01151037e-06  3.18590008e-08 
 1.00000000e+03  1.00087824e-06  3.15241276e-08 
 1.02329299e+03  9.90365968e-07  3.11930296e-08 
 1.04712855e+03  9.79972261e-07  3.08656661e-08 
 1.07151931e+03  9.69695839e-07  3.05419967e-08 
 1.09647820e+03  9.59535436e-07  3.02219814e-08 
 1.12201845e+03  9.49489799e-07  2.99055810e-08 
 1.14815362e+03  9.39557691e-07  2.95927564e-08 
 1.17489755e+03  9.29737888e-07  2.92834690e-08 
 1.20226443e+03  9.20029182e-07  2.89776808e-08 
 1.23026877e+03  9.10430375e-07  2.86753541e-08 
 1.25892541e+03  9.00940286e-07  2.83764517e-08 
 1.28824955e+03  8.91557747e-07  2.80809368e-08 
 1.31825674e+03  8.82281600e-07  2.77887730e-08 
 1.34896288e+03  8.73110705e-07  2.74999242e-08 
 1.38038426e+03  8.64043932e-07  2.72143550e-08 
 1.41253754e+03  8.55080164e-07  2.69320301e-08 
 1.44543977e+03  8.46218298e-07  2.66529149e-08 
 1.47910839e+03  8.37457242e-07  2.63769748e-08 
 1.51356125e+03  8.28795917e-07  2.61041761e-08 
 1.54881662e+03  8.20233256e-07  2.58344850e-08 
 1.58489319e+03  8.11768206e-07  2.55678683e-08 
 1.62181010e+03  8.03399724e-07  2.53042933e-08 
 1.65958691e+03  7.95126778e-07  2.50437274e-08 
 1.69824365e+03  7.86948351e-07  2.47861386e-08 
 1.73780083e+03  7.78863435e-07  2.45314951e-08 
 1.77827941e+03  7.70871033e-07  2.42797656e-08 
 1.81970086e+03  7.62970162e-07  2.40309192e-08 
 1.86208714e+03  7.55159848e-07  2.37849250e-08 
 1.90546072e+03  7.47439128e-07  2.35417528e-08 
 1.94984460e+03  7.39807051e-07  2.33013727e-08 
 1.99526231e+03  7.32262676e-07  2.30637550e-08 
 2.04173794e+03  7.24805074e-07  2.28288705e-08 
 2.08929613e+03  7.17433325e-07  2.25966901e-08 
 2.13796209e+03  7.10146521e-07  2.23671853e-08 
 2.18776162e+03  7.02943761e-07  2.21403278e-08 
 2.23872114e+03  6.95824158e-07  2.19160895e-08 
 2.29086765e+03  6.88786834e-07  2.16944429e-08 
 2.34422882e+03  6.81830920e-07  2.14753606e-08 
 2.39883292e+03  6.74955557e-07  2.12588154e-08 
 2.45470892e+03  6.68159896e-07  2.10447808e-08 
 2.51188643e+03  6.61443098e-07  2.08332302e-08 
 2.57039578e+03  6.54804333e-07  2.06241376e-08 
 2.63026799e+03  6.48242780e-07  2.04174770e-08 
 2.69153480e+03  6.41757628e-07  2.02132230e-08 
 2.75422870e+03  6.35348076e-07  2.00113503e-08 
 2.81838293e+03  6.29013330e-07  1.98118339e-08 
 2.88403150e+03  6.22752605e-07  1.96146492e-08 
 2.95120923e+03  6.16565127e-07  1.94197716e-08 
 3.01995172e+03  6.10450128e-07  1.92271772e-08 
 3.09029543e+03  6.04406851e-07  1.90368419e-08 
 3.16227766e+03  5.98434547e-07  1.88487423e-08 
 3.23593657e+03  5.92532473e-07  1.86628549e-08 
 3.31131121e+03  5.86699898e-07  1.84791567e-08 
 3.38844156e+03  5.80936096e-07  1.82976249e-08 
 3.46736850e+03  5.75240351e-07  1.81182370e-08 
 3.54813389e+03  5.69611954e-07  1.79409706e-08 
 3.63078055e+03  5.64050205e-07  1.77658036e-08 
 3.71535229e+03  5.58554411e-07  1.75927143e-08 
 3.80189396e+03  5.53123885e-07  1.74216810e-08 
 3.89045145e+03  5.47757952e-07  1.72526825e-08 
 3.98107171e+03  5.42455940e-07  1.70856976e-08 
 4.07380278e+03  5.37217188e-07  1.69207056e-08 
 4.16869383e+03  5.32041038e-07  1.67576857e-08 
 4.26579519e+03  5.26926843e-07  1.65966175e-08 
 4.36515832e+03  5.21873963e-07  1.64374810e-08 
 4.46683592e+03  5.16881762e-07  1.62802560e-08 
 4.57088190e+03  5.11949614e-07  1.61249229e-08 
 4.67735141e+03  5.07076898e-07  1.59714622e-08 
 4.78630092e+03  5.02263001e-07  1.58198545e-08 
 4.89778819e+03  4.97507316e-07  1.56700808e-08 
 5.01187234e+03  4.92809242e-07  1.55221222e-08 
 5.12861384e+03  4.88168185e-07  1.53759599e-08 
 5.24807460e+03  4.83583559e-07  1.52315755e-08 
 5.37031796e+03  4.79054781e-07  1.50889507e-08 
 5.49540874e+03  4.74581276e-07  1.49480675e-08 
 5.62341325e+03  4.70162477e-07  1.48089078e-08 
 5.75439937e+03  4.65797819e-07  1.46714541e-08 
 5.88843655e+03  4.61486747e-07  1.45356888e-08 
 6.02559586e+03  4.57228709e-07  1.44015946e-08 
 6.16595002e+03  4.53023160e-07  1.42691543e-08 
 6.30957344e+03  4.48869560e-07  1.41383510e-08 
 6.45654229e+03  4.44767376e-07  1.40091678e-08 
 6.60693448e+03  4.40716079e-07  1.38815883e-08 
 6.76082975e+03  4.36715147e-07  1.37555958e-08 
 6.91830971e+03  4.32764061e-07  1.36311743e-08 
 7.07945784e+03  4.28862311e-07  1.35083075e-08 
 7.24435960e+03  4.25009389e-07  1.33869796e-08 
 7.41310241e+03  4.21204792e-07  1.32671748e-08 
 7.58577575e+03  4.17448026e-07  1.31488775e-08 
 7.76247117e+03  4.13738597e-07  1.30320722e-08 
 7.94328235e+03  4.10076019e-07  1.29167436e-08 
 8.12830516e+03  4.06459810e-07  1.28028766e-08 
 8.31763771e+03  4.02889493e-07  1.26904563e-08 
 8.51138038e+03  3.99364595e-07  1.25794678e-08 
 8.70963590e+03  3.95884649e-07  1.24698963e-08 
 8.91250938e+03  3.92449190e-07  1.23617274e-08 
 9.12010839e+03  3.89057762e-07  1.22549467e-08 
 9.33254301e+03  3.85709907e-07  1.21495399e-08 
 9.54992586e+03  3.82405178e-07  1.20454929e-08 
 9.77237221e+03  3.79143127e-07  1.19427917e-08 
 1.00000000e+04  3.75923314e-07  1.18414224e-08 
 1.02329299e+04  3.72745300e-07  1.17413714e-08 
 1.04712855e+04  3.69608651e-07  1.16426250e-08 
 1.07151931e+04  3.66512940e-07  1.15451699e-08 
 1.09647820e+04  3.63457738e-07  1.14489926e-08 
 1.12201845e+04  3.60442626e-07  1.13540799e-08 
 1.14815362e+04  3.57467185e-07  1.12604189e-08 
 1.17489755e+04  3.54531000e-07  1.11679964e-08 
 1.20226443e+04  3.51633661e-07  1.10767997e-08 
 1.23026877e+04  3.48774761e-07  1.09868161e-08 
 1.25892541e+04  3.45953896e-07  1.08980329e-08 
 1.28824955e+04  3.43170666e-07  1.08104375e-08 
 1.31825674e+04  3.40424675e-07  1.07240178e-08 
 1.34896288e+04  3.37715528e-07  1.06387612e-08 
 1.38038426e+04  3.35042836e-07  1.05546557e-08 
 1.41253754e+04  3.32406212e-07  1.04716893e-08 
 1.44543977e+04  3.29805271e-07  1.03898499e-08 
 1.47910839e+04  3.27239634e-07  1.03091256e-08 
 1.51356125e+04  3.24708923e-07  1.02295048e-08 
 1.54881662e+04  3.22212762e-07  1.01509757e-08 
 1.58489319e+04  3.19750780e-07  1.00735268e-08 
 1.62181010e+04  3.17322608e-07  9.99714666e-09 
 1.65958691e+04  3.14927880e-07  9.92182385e-09 
 1.69824365e+04  3.12566233e-07  9.84754712e-09 
 1.73780083e+04  3.10237305e-07  9.77430527e-09 
 1.77827941e+04  3.07940739e-07  9.70208721e-09 
 1.81970086e+04  3.05676179e-07  9.63088194e-09 
 1.86208714e+04  3.03443271e-07  9.56067852e-09 
 1.90546072e+04  3.01241667e-07  9.49146613e-09 
 1.94984460e+04  2.99071016e-07  9.42323401e-09 
 1.99526231e+04  2.96930974e-07  9.35597152e-09 
 2.04173794e+04  2.94821198e-07  9.28966805e-09 
 2.08929613e+04  2.92741345e-07  9.22431312e-09 
 2.13796209e+04  2.90691078e-07  9.15989630e-09 
 2.18776162e+04  2.88670059e-07  9.09640725e-09 
 2.23872114e+04  2.86677953e-07  9.03383572e-09 
 2.29086765e+04  2.84714428e-07  8.97217152e-09 
 2.34422882e+04  2.82779154e-07  8.91140453e-09 
 2.39883292e+04  2.80871802e-07  8.85152474e-09 
 2.45470892e+04  2.78992045e-07  8.79252218e-09 
 2.51188643e+04  2.77139558e-07  8.73438696e-09 
 2.57039578e+04  2.75314018e-07  8.67710928e-09 
 2.63026799e+04  2.73515105e-07  8.62067940e-09 
 2.69153480e+04  2.71742498e-07  8.56508764e-09 
 2.75422870e+04  2.69995880e-07  8.51032443e-09 
 2.81838293e+04  2.68274935e-07  8.45638021e-09 
 2.88403150e+04  2.66579348e-07  8.40324555e-09 
 2.95120923e+04  2.64908806e-07  8.35091104e-09 
 3.01995172e+04  2.63262998e-07  8.29936737e-09 
 3.09029543e+04  2.61641613e-07  8.24860529e-09 
 3.16227766e+04  2.60044344e-07  8.19861560e-09 
 3.23593657e+04  2.58470882e-07  8.14938919e-09 
 3.31131121e+04  2.56920922e-07  8.10091700e-09 
 3.38844156e+04  2.55394159e-07  8.05319004e-09 
 3.46736850e+04  2.53890290e-07  8.00619939e-09 
 3.54813389e+04  2.52409012e-07  7.95993620e-09 
 3.63078055e+04  2.50950024e-07  7.91439165e-09 
 3.71535229e+04  2.49513025e-07  7.86955704e-09 
 3.80189396e+04  2.48097718e-07  7.82542368e-09 
 3.89045145e+04  2.46703803e-07  7.78198297e-09 
 3.98107171e+04  2.45330983e-07  7.73922638e-09 
 4.07380278e+04  2.43978961e-07  7.69714542e-09 
 4.16869383e+04  2.42647443e-07  7.65573169e-09 
 4.26579519e+04  2.41336133e-07  7.61497684e-09 
 4.36515832e+04  2.40044736e-07  7.57487256e-09 
 4.46683592e+04  2.38772960e-07  7.53541065e-09 
 4.57088190e+04  2.37520511e-07  7.49658293e-09 
 4.67735141e+04  2.36287096e-07  7.45838130e-09 
 4.78630092e+04  2.35072424e-07  7.42079774e-09 
 4.89778819e+04  2.33876202e-07  7.38382425e-09 
 5.01187234e+04  2.32698139e-07  7.34745292e-09 
 5.12861384e+04  2.31537943e-07  7.31167591e-09 
 5.24807460e+04  2.30395323e-07  7.27648543e-09 
 5.37031796e+04  2.29269988e-07  7.24187374e-09 
 5.49540874e+04  2.28161647e-07  7.20783319e-09 
 5.62341325e+04  2.27070009e-07  7.17435617e-09 
 5.75439937e+04  2.25994781e-07  7.14143514e-09 
 5.88843655e+04  2.24935672e-07  7.10906264e-09 
 6.02559586e+04  2.23892390e-07  7.07723123e-09 
