 frequency              onoise_spectrum        inoise_spectrum       
 2.238721138568361e+02  1.401996319256804e-06  3.470715751126996e-07 
 2.282092971067473e+02  1.390557154769655e-06  3.442397497010854e-07 
 2.326305067153649e+02  1.379212883179289e-06  3.414314155265164e-07 
 2.371373705661678e+02  1.367962717968709e-06  3.386463778826110e-07 
 2.417315480804128e+02  1.356805879270020e-06  3.358844437089342e-07 
 2.464147308281306e+02  1.345741593807606e-06  3.331454215771293e-07 
 2.511886431509605e+02  1.334769094842361e-06  3.304291216768344e-07 
 2.560550427970502e+02  1.323887622116655e-06  3.277353558023303e-07 
 2.610157215682563e+02  1.313096421798243e-06  3.250639373384781e-07 
 2.660725059798837e+02  1.302394746426679e-06  3.224146812475345e-07 
 2.712272579332056e+02  1.291781854858689e-06  3.197874040555786e-07 
 2.764818754010136e+02  1.281257012215062e-06  3.171819238394511e-07 
 2.818382931264483e+02  1.270819489827025e-06  3.145980602133451e-07 
 2.872984833353694e+02  1.260468565183649e-06  3.120356343159166e-07 
 2.928644564625267e+02  1.250203521879996e-06  3.094944687973816e-07 
 2.985382618917990e+02  1.240023649564891e-06  3.069743878065583e-07 
 3.043219887107753e+02  1.229928243889706e-06  3.044752169782813e-07 
 3.102177664799533e+02  1.219916606457916e-06  3.019967834208336e-07 
 3.162277660168412e+02  1.209988044773915e-06  2.995389157033170e-07 
 3.223542001952496e+02  1.200141872193539e-06  2.971014438433647e-07 
 3.285993247600689e+02  1.190377407874417e-06  2.946841992948900e-07 
 3.349654391578312e+02  1.180693976726644e-06  2.922870149358966e-07 
 3.414548873833638e+02  1.171090909364264e-06  2.899097250563378e-07 
 3.480700588428447e+02  1.161567542056832e-06  2.875521653463166e-07 
 3.548133892335792e+02  1.152123216681674e-06  2.852141728841189e-07 
 3.616873614408197e+02  1.142757280676234e-06  2.828955861244710e-07 
 3.686945064519614e+02  1.133469086990983e-06  2.805962448869064e-07 
 3.758374042884482e+02  1.124257994043321e-06  2.783159903442922e-07 
 3.831186849557329e+02  1.115123365670384e-06  2.760546650112251e-07 
 3.905410294116422e+02  1.106064571084081e-06  2.738121127327966e-07 
 3.981071705535015e+02  1.097080984825131e-06  2.715881786733083e-07 
 4.058198942243842e+02  1.088171986718126e-06  2.693827093051403e-07 
 4.136820402388552e+02  1.079336961827029e-06  2.671955523976492e-07 
 4.216965034285868e+02  1.070575300410317e-06  2.650265570061677e-07 
 4.298662347082324e+02  1.061886397878006e-06  2.628755734612981e-07 
 4.381942421619485e+02  1.053269654747325e-06  2.607424533579808e-07 
 4.466835921509680e+02  1.044724476599752e-06  2.586270495448061e-07 
 4.553374104426299e+02  1.036250274038573e-06  2.565292161135822e-07 
 4.641588833612830e+02  1.027846462645962e-06  2.544488083886226e-07 
 4.731512589614857e+02  1.019512462941388e-06  2.523856829165523e-07 
 4.823178482239360e+02  1.011247700339671e-06  2.503396974557891e-07 
 4.916620262745698e+02  1.003051605109506e-06  2.483107109664625e-07 
 5.011872336272779e+02  9.949236123330617e-07  2.462985836002128e-07 
 5.108969774506985e+02  9.868631618647170e-07  2.443031766900850e-07 
 5.207948328595522e+02  9.788696982911454e-07  2.423243527406553e-07 
 5.308844442309944e+02  9.709426708913424e-07  2.403619754181299e-07 
 5.411695265464699e+02  9.630815335969492e-07  2.384159095404275e-07 
 5.516538667595644e+02  9.552857449532332e-07  2.364860210676758e-07 
 5.623413251903556e+02  9.475547680798111e-07  2.345721770923655e-07 
 5.732358369467780e+02  9.398880706325022e-07  2.326742458299561e-07 
 5.843414133735243e+02  9.322851247647271e-07  2.307920966093248e-07 
 5.956621435290174e+02  9.247454070898832e-07  2.289255998634205e-07 
 6.072021956909956e+02  9.172683986435379e-07  2.270746271199716e-07 
 6.189658188912678e+02  9.098535848463591e-07  2.252390509922092e-07 
 6.309573444802006e+02  9.025004554669846e-07  2.234187451697626e-07 
 6.431811877215163e+02  8.952085045854540e-07  2.216135844095679e-07 
 6.556418494179866e+02  8.879772305570326e-07  2.198234445268918e-07 
 6.683439175686225e+02  8.808061359761486e-07  2.180482023864762e-07 
 6.812920690579693e+02  8.736947276404733e-07  2.162877358935767e-07 
 6.944910713781295e+02  8.666425165158010e-07  2.145419239852977e-07 
 7.079457843841464e+02  8.596490177008991e-07  2.128106466218735e-07 
 7.216611620833969e+02  8.527137503927260e-07  2.110937847780844e-07 
 7.356422544596502e+02  8.458362378517820e-07  2.093912204346600e-07 
 7.498942093324649e+02  8.390160073682425e-07  2.077028365698992e-07 
 7.644222742526096e+02  8.322525902276594e-07  2.060285171511899e-07 
 7.792317984342036e+02  8.255455216777680e-07  2.043681471267661e-07 
 7.943282347242912e+02  8.188943408946686e-07  2.027216124173526e-07 
 8.097171416105718e+02  8.122985909503560e-07  2.010887999081735e-07 
 8.254041852680285e+02  8.057578187794668e-07  1.994695974405982e-07 
 8.413951416452054e+02  7.992715751470831e-07  1.978638938043062e-07 
 8.576958985909047e+02  7.928394146164068e-07  1.962715787292015e-07 
 8.743124580220845e+02  7.864608955168190e-07  1.946925428775222e-07 
 8.912509381337566e+02  7.801355799123623e-07  1.931266778360698e-07 
 9.085175756516981e+02  7.738630335702672e-07  1.915738761083849e-07 
 9.261187281288051e+02  7.676428259296663e-07  1.900340311069890e-07 
 9.440608762859353e+02  7.614745300711066e-07  1.885070371458876e-07 
 9.623506263981008e+02  7.553577226854432e-07  1.869927894328431e-07 
 9.809947127268898e+02  7.492919840440864e-07  1.854911840619892e-07 
 1.000000000000013e+03  7.432768979684733e-07  1.840021180062892e-07 
 1.019373485938886e+03  7.373120518003387e-07  1.825254891102200e-07 
 1.039122303835182e+03  7.313970363723843e-07  1.810611960824099e-07 
 1.059253725177302e+03  7.255314459785927e-07  1.796091384884009e-07 
 1.079775162327723e+03  7.197148783453453e-07  1.781692167434333e-07 
 1.100694171252224e+03  7.139469346026591e-07  1.767413321053495e-07 
