 time                v(xadc.tn)          v(xadc.tp)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 2.830583690954e-06  8.997866714442e-01  8.995712897661e-01  1.799979430926e+00  6.746055757971e-06  1.800000000000e+00  1.099999402668e+00  6.999989729084e-01 
 2.830657482332e-06  8.997735086888e-01  8.995737644422e-01  1.799979943138e+00  6.591852086951e-06  1.800000000000e+00  1.099999398992e+00  6.999989802573e-01 
 2.830751571177e-06  8.997516712395e-01  8.995763790182e-01  1.799980561189e+00  6.402842019432e-06  1.800000000000e+00  1.099999393703e+00  6.999989881047e-01 
 2.830856082627e-06  8.997169862790e-01  8.995783807179e-01  1.799981206010e+00  6.203683645763e-06  1.800000000000e+00  1.099999386565e+00  6.999989941372e-01 
 2.830954132030e-06  8.996755382549e-01  8.995792658305e-01  1.799981774051e+00  6.027570503695e-06  1.800000000000e+00  1.099999378219e+00  6.999989965478e-01 
 2.831063531283e-06  8.996333360044e-01  8.995796266845e-01  1.799982368340e+00  5.843056538140e-06  1.800000000000e+00  1.099999367087e+00  6.999989955107e-01 
 2.831149754280e-06  8.996137851534e-01  8.995800099058e-01  1.799982809920e+00  5.706982263801e-06  1.800000000000e+00  1.099999357510e+00  6.999989926459e-01 
 2.831232025296e-06  8.996087349271e-01  8.995808060862e-01  1.799983212123e+00  5.583824836775e-06  1.800000000000e+00  1.099999348369e+00  6.999989891473e-01 
 2.831320991182e-06  8.996144657841e-01  8.995821930992e-01  1.799983627558e+00  5.457554809623e-06  1.800000000000e+00  1.099999339123e+00  6.999989854730e-01 
 2.831415164781e-06  8.996288641365e-01  8.995841774147e-01  1.799984046304e+00  5.330918928757e-06  1.800000000000e+00  1.099999330548e+00  6.999989825047e-01 
 2.831531307527e-06  8.996522543483e-01  8.995871673744e-01  1.799984535368e+00  5.183546927612e-06  1.800000000000e+00  1.099999322058e+00  6.999989808902e-01 
 2.831653913223e-06  8.996790191824e-01  8.995907662295e-01  1.799985021273e+00  5.037493638403e-06  1.800000000000e+00  1.099999315650e+00  6.999989820031e-01 
 2.831778866094e-06  8.997047951012e-01  8.995946688452e-01  1.799985487124e+00  4.897762017135e-06  1.800000000000e+00  1.099999311599e+00  6.999989860860e-01 
 2.831916078703e-06  8.997290125614e-01  8.995989754638e-01  1.799985967506e+00  4.753878390412e-06  1.800000000000e+00  1.099999309557e+00  6.999989936007e-01 
 2.832046294679e-06  8.997476816598e-01  8.996029575992e-01  1.799986395679e+00  4.625773187917e-06  1.800000000000e+00  1.099999309466e+00  6.999990031619e-01 
 2.832190850356e-06  8.997638312194e-01  8.996071721132e-01  1.799986842303e+00  4.492268767816e-06  1.800000000000e+00  1.099999310913e+00  6.999990158953e-01 
 2.832336908696e-06  8.997761191273e-01  8.996111886694e-01  1.799987265538e+00  4.365866372932e-06  1.800000000000e+00  1.099999313546e+00  6.999990304178e-01 
 2.832503457789e-06  8.997863667000e-01  8.996154846575e-01  1.799987717041e+00  4.231141321964e-06  1.800000000000e+00  1.099999317491e+00  6.999990483418e-01 
 2.832681609615e-06  8.997941252511e-01  8.996197803617e-01  1.799988166821e+00  4.097069245025e-06  1.800000000000e+00  1.099999322403e+00  6.999990685132e-01 
 2.832889806537e-06  8.998003406859e-01  8.996244658795e-01  1.799988653615e+00  3.952123926680e-06  1.800000000000e+00  1.099999328644e+00  6.999990927565e-01 
 2.833123804030e-06  8.998049665342e-01  8.996293752829e-01  1.799989156375e+00  3.802618375759e-06  1.800000000000e+00  1.099999335962e+00  6.999991202757e-01 
 2.833406480626e-06  8.998085931300e-01  8.996348987479e-01  1.799989709029e+00  3.638509238842e-06  1.800000000000e+00  1.099999344940e+00  6.999991533151e-01 
 2.833743618379e-06  8.998113685089e-01  8.996410182985e-01  1.799990300812e+00  3.463075591979e-06  1.800000000000e+00  1.099999355631e+00  6.999991918991e-01 
 2.834175837989e-06  8.998136907623e-01  8.996482684821e-01  1.799990969670e+00  3.265171991438e-06  1.800000000000e+00  1.099999369187e+00  6.999992395723e-01 
 2.834742378301e-06  8.998157421290e-01  8.996569605276e-01  1.799991722347e+00  3.042985709328e-06  1.800000000000e+00  1.099999386702e+00  6.999992986475e-01 
 2.835567404236e-06  8.998178224629e-01  8.996682998272e-01  1.799992625168e+00  2.777233380381e-06  1.800000000000e+00  1.099999411859e+00  6.999993776753e-01 
 2.836895578329e-06  8.998201186594e-01  8.996839801048e-01  1.799993739805e+00  2.450371109855e-06  1.800000000000e+00  1.099999451820e+00  6.999994886471e-01 
 2.838895578329e-06  8.998223377978e-01  8.997030148901e-01  1.799994919163e+00  2.106369621642e-06  1.800000000000e+00  1.099999510624e+00  6.999996232291e-01 
 2.840895578329e-06  8.998237310408e-01  8.997177935306e-01  1.799995731621e+00  1.871012561701e-06  1.800000000000e+00  1.099999567005e+00  6.999997255334e-01 
 2.842895578329e-06  8.998246669374e-01  8.997293217444e-01  1.799996321986e+00  1.700768766088e-06  1.800000000000e+00  1.099999620035e+00  6.999998023370e-01 
 2.844895578329e-06  8.998253307816e-01  8.997383590047e-01  1.799996769889e+00  1.572005010520e-06  1.800000000000e+00  1.099999668974e+00  6.999998594870e-01 
 2.846895578329e-06  8.998258163714e-01  8.997454761196e-01  1.799997121242e+00  1.471269642975e-06  1.800000000000e+00  1.099999713386e+00  6.999999017108e-01 
 2.848895578329e-06  8.998261762489e-01  8.997511071927e-01  1.799997404246e+00  1.390325336658e-06  1.800000000000e+00  1.099999753127e+00  6.999999327024e-01 
 2.850895578329e-06  8.998264440781e-01  8.997555837645e-01  1.799997637175e+00  1.323846064284e-06  1.800000000000e+00  1.099999788276e+00  6.999999552929e-01 
 2.852895578329e-06  8.998266435397e-01  8.997591625134e-01  1.799997832088e+00  1.268325443225e-06  1.800000000000e+00  1.099999819070e+00  6.999999716299e-01 
 2.854895578329e-06  8.998267920770e-01  8.997620414797e-01  1.799997997668e+00  1.221243783398e-06  1.800000000000e+00  1.099999845838e+00  6.999999833322e-01 
 2.856895578329e-06  8.998269026903e-01  8.997643735580e-01  1.799998140064e+00  1.180819847896e-06  1.800000000000e+00  1.099999868956e+00  6.999999916140e-01 
 2.858895578329e-06  8.998269850685e-01  8.997662768621e-01  1.799998263813e+00  1.145741356647e-06  1.800000000000e+00  1.099999888815e+00  6.999999973833e-01 
 2.860895578329e-06  8.998270464353e-01  8.997678426659e-01  1.799998372341e+00  1.115019332436e-06  1.800000000000e+00  1.099999905800e+00  7.000000013171e-01 
 2.862895578329e-06  8.998270921675e-01  8.997691415789e-01  1.799998468284e+00  1.087894275518e-06  1.800000000000e+00  1.099999920271e+00  7.000000039185e-01 
 2.864895578329e-06  8.998271262637e-01  8.997702283175e-01  1.799998553701e+00  1.063773227471e-06  1.800000000000e+00  1.099999932564e+00  7.000000055604e-01 
 2.866895578329e-06  8.998271516961e-01  8.997711453783e-01  1.799998630227e+00  1.042186493537e-06  1.800000000000e+00  1.099999942980e+00  7.000000065182e-01 
 2.868895578329e-06  8.998271706739e-01  8.997719258590e-01  1.799998699176e+00  1.022757210036e-06  1.800000000000e+00  1.099999951787e+00  7.000000069943e-01 
 2.870895578329e-06  8.998271848394e-01  8.997725956204e-01  1.799998761613e+00  1.005179503952e-06  1.800000000000e+00  1.099999959220e+00  7.000000071370e-01 
 2.872895578329e-06  8.998271954142e-01  8.997731749448e-01  1.799998818416e+00  9.892025489337e-07  1.800000000000e+00  1.099999965487e+00  7.000000070540e-01 
 2.874895578329e-06  8.998272033078e-01  8.997736798066e-01  1.799998870310e+00  9.746187255156e-07  1.800000000000e+00  1.099999970764e+00  7.000000068233e-01 
 2.876895578329e-06  8.998272091977e-01  8.997741228478e-01  1.799998917902e+00  9.612547172013e-07  1.800000000000e+00  1.099999975206e+00  7.000000065006e-01 
 2.878895578329e-06  8.998272135890e-01  8.997745141271e-01  1.799998961702e+00  9.489647184380e-07  1.800000000000e+00  1.099999978943e+00  7.000000061255e-01 
 2.880895578329e-06  8.998272168590e-01  8.997748616953e-01  1.799999002144e+00  9.376251908817e-07  1.800000000000e+00  1.099999982087e+00  7.000000057256e-01 
 2.882895578329e-06  8.998272192895e-01  8.997751720383e-01  1.799999039598e+00  9.271307774151e-07  1.800000000000e+00  1.099999984732e+00  7.000000053200e-01 
 2.884895578329e-06  8.998272210914e-01  8.997754504185e-01  1.799999074381e+00  9.173910829654e-07  1.800000000000e+00  1.099999986959e+00  7.000000049212e-01 
 2.886895578329e-06  8.998272224226e-01  8.997757011380e-01  1.799999106768e+00  9.083281142713e-07  1.800000000000e+00  1.099999988834e+00  7.000000045374e-01 
 2.888895578329e-06  8.998272234012e-01  8.997759277414e-01  1.799999136996e+00  8.998742256828e-07  1.800000000000e+00  1.099999990416e+00  7.000000041736e-01 
 2.890895578329e-06  8.998272241158e-01  8.997761331743e-01  1.799999165274e+00  8.919704649692e-07  1.800000000000e+00  1.099999991751e+00  7.000000038325e-01 
 2.892895578329e-06  8.998272246331e-01  8.997763199046e-01  1.799999191782e+00  8.845652209893e-07  1.800000000000e+00  1.099999992879e+00  7.000000035152e-01 
 2.894895578329e-06  8.998272250031e-01  8.997764900177e-01  1.799999216681e+00  8.776131196878e-07  1.800000000000e+00  1.099999993835e+00  7.000000032218e-01 
 2.896895578329e-06  8.998272252632e-01  8.997766452907e-01  1.799999240113e+00  8.710741073774e-07  1.800000000000e+00  1.099999994645e+00  7.000000029517e-01 
 2.898895578329e-06  8.998272254417e-01  8.997767872502e-01  1.799999262202e+00  8.649127011026e-07  1.800000000000e+00  1.099999995334e+00  7.000000027037e-01 
 2.900895578329e-06  8.998272255598e-01  8.997769172180e-01  1.799999283061e+00  8.590973514862e-07  1.800000000000e+00  1.099999995921e+00  7.000000024767e-01 
 2.902895578329e-06  8.998272256333e-01  8.997770363469e-01  1.799999302788e+00  8.535999153484e-07  1.800000000000e+00  1.099999996423e+00  7.000000022691e-01 
 2.904895578329e-06  8.998272256742e-01  8.997771456493e-01  1.799999321473e+00  8.483952083307e-07  1.800000000000e+00  1.099999996852e+00  7.000000020796e-01 
 2.906895578329e-06  8.998272256916e-01  8.997772460196e-01  1.799999339195e+00  8.434606281742e-07  1.800000000000e+00  1.099999997221e+00  7.000000019066e-01 
 2.908895578329e-06  8.998272256919e-01  8.997773382528e-01  1.799999356028e+00  8.387758316707e-07  1.800000000000e+00  1.099999997539e+00  7.000000017487e-01 
 2.910895578329e-06  8.998272256804e-01  8.997774230588e-01  1.799999372035e+00  8.343224594099e-07  1.800000000000e+00  1.099999997813e+00  7.000000016047e-01 
 2.912895578329e-06  8.998272256608e-01  8.997775010747e-01  1.799999387275e+00  8.300839035034e-07  1.800000000000e+00  1.099999998051e+00  7.000000014733e-01 
 2.914895578329e-06  8.998272256357e-01  8.997775728742e-01  1.799999401803e+00  8.260450993439e-07  1.800000000000e+00  1.099999998258e+00  7.000000013533e-01 
 2.916895578329e-06  8.998272256073e-01  8.997776389761e-01  1.799999415667e+00  8.221923552102e-07  1.800000000000e+00  1.099999998439e+00  7.000000012438e-01 
 2.918895578329e-06  8.998272255771e-01  8.997776998505e-01  1.799999428910e+00  8.185131965005e-07  1.800000000000e+00  1.099999998597e+00  7.000000011438e-01 
 2.920895578329e-06  8.998272255462e-01  8.997777559247e-01  1.799999441574e+00  8.149962356649e-07  1.800000000000e+00  1.099999998736e+00  7.000000010523e-01 
 2.922895578329e-06  8.998272255153e-01  8.997778075882e-01  1.799999453696e+00  8.116310562180e-07  1.800000000000e+00  1.099999998858e+00  7.000000009687e-01 
 2.924895578329e-06  8.998272254850e-01  8.997778551962e-01  1.799999465308e+00  8.084081103063e-07  1.800000000000e+00  1.099999998966e+00  7.000000008922e-01 
 2.926895578329e-06  8.998272254557e-01  8.997778990736e-01  1.799999476444e+00  8.053186326488e-07  1.800000000000e+00  1.099999999062e+00  7.000000008222e-01 
 2.928895578329e-06  8.998272254276e-01  8.997779395178e-01  1.799999487130e+00  8.023545604581e-07  1.800000000000e+00  1.099999999147e+00  7.000000007580e-01 
 2.930895578329e-06  8.998272254009e-01  8.997779768014e-01  1.799999497394e+00  7.995084646144e-07  1.800000000000e+00  1.099999999223e+00  7.000000006993e-01 
 2.932895578329e-06  8.998272253756e-01  8.997780111744e-01  1.799999507260e+00  7.967734900292e-07  1.800000000000e+00  1.099999999291e+00  7.000000006454e-01 
 2.934895578329e-06  8.998272253519e-01  8.997780428664e-01  1.799999516751e+00  7.941432992648e-07  1.800000000000e+00  1.099999999352e+00  7.000000005959e-01 
 2.936895578329e-06  8.998272253296e-01  8.997780720883e-01  1.799999525888e+00  7.916120263979e-07  1.800000000000e+00  1.099999999407e+00  7.000000005505e-01 
 2.938895578329e-06  8.998272253088e-01  8.997780990342e-01  1.799999534689e+00  7.891742347552e-07  1.800000000000e+00  1.099999999456e+00  7.000000005089e-01 
