 time                v(xadc.tp)          v(xadc.tn)          v(q)                v(qb)               v(ev)               v(rp)               v(rn)              
 2.136560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688344350e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.138560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688336951e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.140560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688311570e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.142560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688323093e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.144560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688341307e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.146560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688334972e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.148560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688341651e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.150560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688356121e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.152560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688323174e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.154560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688329252e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.156560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688345464e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.158560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337299e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.160560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688343460e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.162560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688357003e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.164560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688324572e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.166560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688347990e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.168560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688338264e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.170560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688343720e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.172560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688351316e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.174560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688329072e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.176560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688348619e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.178560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332702e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.180560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688330142e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.182560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688327791e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.184560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688345536e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.186560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337467e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.188560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688318639e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.190560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688324537e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.192560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337373e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.194560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688346704e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.196560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688357005e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.198560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688342981e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.200560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688340174e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.202560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688332473e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.204560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688348195e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.206560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688357721e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.208560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688356005e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.210560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688363248e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.212560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688346322e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.214560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688342940e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.216560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688352804e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.218560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688348404e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.220560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688360806e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.222560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688351685e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.224560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337809e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.226560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688314886e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.228560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337058e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.230560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688334118e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.232560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688346625e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.234560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688338515e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.236560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688338645e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.238560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688331308e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.240560000000e-06  8.999755859381e-01  9.000244140620e-01  6.619688341118e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
 2.242560000000e-06  8.999755859380e-01  9.000244140620e-01  6.619688337100e-07  1.799999990526e+00  0.000000000000e+00  1.099999999896e+00  7.000000001042e-01 
