 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 9.80000000e-01  2.12497093e-05  2.26918821e-04  2.60254543e-05  6.95307009e-01  1.50832601e-01  1.06786789e+01  8.71911088e+00 
 9.70000000e-01  2.36020777e-05  2.43594621e-04  2.79604436e-05  6.95307009e-01  1.57260645e-01  1.03208973e+01  8.71211576e+00 
 9.60000000e-01  2.61222953e-05  2.60478679e-04  2.99266289e-05  6.95307009e-01  1.63771171e-01  9.97150810e+00  8.70390983e+00 
 9.50000000e-01  2.88121544e-05  2.77513854e-04  3.19185691e-05  6.95307009e-01  1.70350390e-01  9.63183279e+00  8.69443279e+00 
 9.40000000e-01  3.16729034e-05  2.94648512e-04  3.39315000e-05  6.95307009e-01  1.76985508e-01  9.30285768e+00  8.68362768e+00 
 9.30000000e-01  3.47053023e-05  3.11836644e-04  3.59613393e-05  6.95307009e-01  1.83664755e-01  8.98527382e+00  8.67144132e+00 
 9.20000000e-01  3.79096789e-05  3.29037746e-04  3.80046672e-05  6.95307009e-01  1.90377391e-01  8.67951815e+00  8.65782470e+00 
 9.10000000e-01  4.12859823e-05  3.46216550e-04  4.00586878e-05  6.95307009e-01  1.97113687e-01  8.38581354e+00  8.64273316e+00 
 9.00000000e-01  4.48338337e-05  3.63342638e-04  4.21211805e-05  6.95307009e-01  2.03864883e-01  8.10420632e+00  8.62612666e+00 
 8.90000000e-01  4.85525722e-05  3.80389997e-04  4.41904426e-05  6.95307009e-01  2.10623139e-01  7.83460030e+00  8.60796983e+00 
 8.80000000e-01  5.24412972e-05  3.97336532e-04  4.62652301e-05  6.95307009e-01  2.17381480e-01  7.57678687e+00  8.58823204e+00 
 8.70000000e-01  5.64989043e-05  4.14163587e-04  4.83446986e-05  6.95307009e-01  2.24133724e-01  7.33047114e+00  8.56688735e+00 
 8.60000000e-01  6.07241181e-05  4.30855480e-04  5.04283464e-05  6.95307009e-01  2.30874427e-01  7.09529415e+00  8.54391450e+00 
 8.50000000e-01  6.51155193e-05  4.47399060e-04  5.25159615e-05  6.95307009e-01  2.37598812e-01  6.87085145e+00  8.51929673e+00 
 8.40000000e-01  6.96715680e-05  4.63783314e-04  5.46075742e-05  6.95307009e-01  2.44302707e-01  6.65670843e+00  8.49302173e+00 
 8.30000000e-01  7.43906235e-05  4.79999008e-04  5.67034131e-05  6.95307009e-01  2.50982489e-01  6.45241276e+00  8.46508141e+00 
 8.20000000e-01  7.92709603e-05  4.96038374e-04  5.88038687e-05  6.95307009e-01  2.57635026e-01  6.25750429e+00  8.43547176e+00 
 8.10000000e-01  8.43107812e-05  5.11894833e-04  6.09094595e-05  6.95307009e-01  2.64257624e-01  6.07152284e+00  8.40419268e+00 
 8.00000000e-01  8.95082284e-05  5.27562773e-04  6.30208053e-05  6.95307009e-01  2.70847983e-01  5.89401424e+00  8.37124773e+00 
 7.90000000e-01  9.48613920e-05  5.43037344e-04  6.51386030e-05  6.95307009e-01  2.77404149e-01  5.72453484e+00  8.33664399e+00 
 7.80000000e-01  1.00368317e-04  5.58314298e-04  6.72636074e-05  6.95307009e-01  2.83924481e-01  5.56265480e+00  8.30039184e+00 
 7.70000000e-01  1.06027007e-04  5.73389857e-04  6.93966145e-05  6.95307009e-01  2.90407613e-01  5.40796044e+00  8.26250475e+00 
 7.60000000e-01  1.11835431e-04  5.88260603e-04  7.15384491e-05  6.95307009e-01  2.96852421e-01  5.26005577e+00  8.22299911e+00 
 7.50000000e-01  1.17791525e-04  6.02923390e-04  7.36899534e-05  6.95307009e-01  3.03257999e-01  5.11856339e+00  8.18189403e+00 
 7.40000000e-01  1.23893196e-04  6.17375275e-04  7.58519791e-05  6.95307009e-01  3.09623631e-01  4.98312496e+00  8.13921117e+00 
 7.30000000e-01  1.30138319e-04  6.31613468e-04  7.80253805e-05  6.95307009e-01  3.15948771e-01  4.85340117e+00  8.09497453e+00 
 7.20000000e-01  1.36524744e-04  6.45635287e-04  8.02110095e-05  6.95307009e-01  3.22233022e-01  4.72907159e+00  8.04921034e+00 
 7.10000000e-01  1.43050294e-04  6.59438133e-04  8.24097118e-05  6.95307009e-01  3.28476121e-01  4.60983415e+00  8.00194684e+00 
 7.00000000e-01  1.49712768e-04  6.73019467e-04  8.46223242e-05  6.95307009e-01  3.34677922e-01  4.49540460e+00  7.95321415e+00 
 6.90000000e-01  1.56509937e-04  6.86376796e-04  8.68496726e-05  6.95307009e-01  3.40838383e-01  4.38551576e+00  7.90304414e+00 
 6.80000000e-01  1.63439549e-04  6.99507667e-04  8.90925708e-05  6.95307009e-01  3.46957557e-01  4.27991677e+00  7.85147023e+00 
 6.70000000e-01  1.70499328e-04  7.12409660e-04  9.13518197e-05  6.95307009e-01  3.53035576e-01  4.17837226e+00  7.79852731e+00 
 6.60000000e-01  1.77686971e-04  7.25080390e-04  9.36282072e-05  6.95307009e-01  3.59072649e-01  4.08066154e+00  7.74425156e+00 
 6.50000000e-01  1.85000157e-04  7.37517508e-04  9.59225084e-05  6.95307009e-01  3.65069049e-01  3.98657775e+00  7.68868038e+00 
 6.40000000e-01  1.92436535e-04  7.49718706e-04  9.82354855e-05  6.95307009e-01  3.71025106e-01  3.89592707e+00  7.63185220e+00 
 6.30000000e-01  1.99993737e-04  7.61681722e-04  1.00567889e-04  6.95307009e-01  3.76941204e-01  3.80852788e+00  7.57380641e+00 
 6.20000000e-01  2.07669368e-04  7.73404346e-04  1.02920458e-04  6.95307009e-01  3.82817774e-01  3.72421003e+00  7.51458323e+00 
 6.10000000e-01  2.15461015e-04  7.84884425e-04  1.05293920e-04  6.95307009e-01  3.88655288e-01  3.64281410e+00  7.45422359e+00 
 6.00000000e-01  2.23366241e-04  7.96119874e-04  1.07688995e-04  6.95307009e-01  3.94454256e-01  3.56419067e+00  7.39276906e+00 
 5.90000000e-01  2.31382591e-04  8.07108680e-04  1.10106393e-04  6.95307009e-01  4.00215223e-01  3.48819969e+00  7.33026171e+00 
 5.80000000e-01  2.39507586e-04  8.17848909e-04  1.12546817e-04  6.95307009e-01  4.05938762e-01  3.41470983e+00  7.26674403e+00 
