 v-sweep         iref_forced     iref_mos        iout_mos        error_vs_forced_pct error_vs_reference_mos_pct vdsat_abs       sat_margin     
 9.10000000e-01  1.00000000e-05  1.00000012e-05  1.01863723e-05  1.86372346e+00  1.86371141e+00  1.08670676e-01  8.01329324e-01 
 9.20000000e-01  1.00000000e-05  1.00000012e-05  1.01946316e-05  1.94631586e+00  1.94630380e+00  1.08670676e-01  8.11329324e-01 
 9.30000000e-01  1.00000000e-05  1.00000012e-05  1.02028631e-05  2.02863074e+00  2.02861867e+00  1.08670676e-01  8.21329324e-01 
 9.40000000e-01  1.00000000e-05  1.00000012e-05  1.02110675e-05  2.11067533e+00  2.11066325e+00  1.08670677e-01  8.31329323e-01 
 9.50000000e-01  1.00000000e-05  1.00000012e-05  1.02192457e-05  2.19245661e+00  2.19244451e+00  1.08670677e-01  8.41329323e-01 
 9.60000000e-01  1.00000000e-05  1.00000012e-05  1.02273981e-05  2.27398129e+00  2.27396918e+00  1.08670678e-01  8.51329322e-01 
 9.70000000e-01  1.00000000e-05  1.00000012e-05  1.02355256e-05  2.35525583e+00  2.35524372e+00  1.08670678e-01  8.61329322e-01 
 9.80000000e-01  1.00000000e-05  1.00000012e-05  1.02436286e-05  2.43628648e+00  2.43627436e+00  1.08670679e-01  8.71329321e-01 
 9.90000000e-01  1.00000000e-05  1.00000012e-05  1.02517079e-05  2.51707924e+00  2.51706711e+00  1.08670679e-01  8.81329321e-01 
 1.00000000e+00  1.00000000e-05  1.00000012e-05  1.02597640e-05  2.59763993e+00  2.59762779e+00  1.08670680e-01  8.91329320e-01 
 1.01000000e+00  1.00000000e-05  1.00000012e-05  1.02677974e-05  2.67797413e+00  2.67796198e+00  1.08670680e-01  9.01329320e-01 
 1.02000000e+00  1.00000000e-05  1.00000012e-05  1.02758087e-05  2.75808728e+00  2.75807512e+00  1.08670680e-01  9.11329320e-01 
 1.03000000e+00  1.00000000e-05  1.00000012e-05  1.02837985e-05  2.83798460e+00  2.83797243e+00  1.08670681e-01  9.21329319e-01 
 1.04000000e+00  1.00000000e-05  1.00000012e-05  1.02917671e-05  2.91767116e+00  2.91765898e+00  1.08670681e-01  9.31329319e-01 
 1.05000000e+00  1.00000000e-05  1.00000012e-05  1.02997152e-05  2.99715186e+00  2.99713967e+00  1.08670682e-01  9.41329318e-01 
 1.06000000e+00  1.00000000e-05  1.00000012e-05  1.03076431e-05  3.07643146e+00  3.07641926e+00  1.08670682e-01  9.51329318e-01 
 1.07000000e+00  1.00000000e-05  1.00000012e-05  1.03155515e-05  3.15551457e+00  3.15550236e+00  1.08670683e-01  9.61329317e-01 
 1.08000000e+00  1.00000000e-05  1.00000012e-05  1.03234406e-05  3.23440565e+00  3.23439344e+00  1.08670683e-01  9.71329317e-01 
 1.09000000e+00  1.00000000e-05  1.00000012e-05  1.03313109e-05  3.31310905e+00  3.31309683e+00  1.08670684e-01  9.81329316e-01 
 1.10000000e+00  1.00000000e-05  1.00000012e-05  1.03391629e-05  3.39162900e+00  3.39161676e+00  1.08670684e-01  9.91329316e-01 
 1.11000000e+00  1.00000000e-05  1.00000012e-05  1.03469970e-05  3.46996958e+00  3.46995734e+00  1.08670685e-01  1.00132932e+00 
 1.12000000e+00  1.00000000e-05  1.00000012e-05  1.03548135e-05  3.54813481e+00  3.54812256e+00  1.08670685e-01  1.01132932e+00 
 1.13000000e+00  1.00000000e-05  1.00000012e-05  1.03626129e-05  3.62612858e+00  3.62611631e+00  1.08670685e-01  1.02132931e+00 
 1.14000000e+00  1.00000000e-05  1.00000012e-05  1.03703955e-05  3.70395468e+00  3.70394241e+00  1.08670686e-01  1.03132931e+00 
 1.15000000e+00  1.00000000e-05  1.00000012e-05  1.03781617e-05  3.78161684e+00  3.78160456e+00  1.08670686e-01  1.04132931e+00 
 1.16000000e+00  1.00000000e-05  1.00000012e-05  1.03859119e-05  3.85911868e+00  3.85910639e+00  1.08670687e-01  1.05132931e+00 
 1.17000000e+00  1.00000000e-05  1.00000012e-05  1.03936464e-05  3.93646375e+00  3.93645145e+00  1.08670687e-01  1.06132931e+00 
 1.18000000e+00  1.00000000e-05  1.00000012e-05  1.04013656e-05  4.01365554e+00  4.01364324e+00  1.08670688e-01  1.07132931e+00 
 1.19000000e+00  1.00000000e-05  1.00000012e-05  1.04090697e-05  4.09069748e+00  4.09068516e+00  1.08670688e-01  1.08132931e+00 
 1.20000000e+00  1.00000000e-05  1.00000012e-05  1.04167593e-05  4.16759290e+00  4.16758058e+00  1.08670689e-01  1.09132931e+00 
 1.21000000e+00  1.00000000e-05  1.00000012e-05  1.04244345e-05  4.24434513e+00  4.24433280e+00  1.08670689e-01  1.10132931e+00 
 1.22000000e+00  1.00000000e-05  1.00000012e-05  1.04320957e-05  4.32095742e+00  4.32094508e+00  1.08670690e-01  1.11132931e+00 
 1.23000000e+00  1.00000000e-05  1.00000012e-05  1.04397433e-05  4.39743299e+00  4.39742064e+00  1.08670690e-01  1.12132931e+00 
 1.24000000e+00  1.00000000e-05  1.00000012e-05  1.04473775e-05  4.47377501e+00  4.47376265e+00  1.08670690e-01  1.13132931e+00 
 1.25000000e+00  1.00000000e-05  1.00000012e-05  1.04549987e-05  4.54998663e+00  4.54997426e+00  1.08670691e-01  1.14132931e+00 
 1.26000000e+00  1.00000000e-05  1.00000012e-05  1.04626071e-05  4.62607097e+00  4.62605859e+00  1.08670691e-01  1.15132931e+00 
