 v-sweep         id_abs          gm_abs          gds_abs         vth_abs         vdsat_abs       gm_id           gm_gds         
 1.53000000e+00  1.71401499e-03  2.44757302e-03  3.16256858e-04  7.07653677e-01  3.01934156e-01  1.42797643e+00  7.73919349e+00 
 1.54000000e+00  1.73847811e-03  2.44502452e-03  3.18816582e-04  7.07653677e-01  3.03708006e-01  1.40641663e+00  7.66906323e+00 
 1.55000000e+00  1.76291498e-03  2.44232638e-03  3.21374726e-04  7.07653677e-01  3.05484753e-01  1.38539090e+00  7.59962183e+00 
 1.56000000e+00  1.78732415e-03  2.43948295e-03  3.23931932e-04  7.07653677e-01  3.07264846e-01  1.36487998e+00  7.53085050e+00 
 1.57000000e+00  1.81170417e-03  2.43649849e-03  3.26488833e-04  7.07653677e-01  3.09048721e-01  1.34486553e+00  7.46273147e+00 
 1.58000000e+00  1.83605366e-03  2.43337714e-03  3.29046052e-04  7.07653677e-01  3.10836795e-01  1.32533007e+00  7.39524794e+00 
 1.59000000e+00  1.86037127e-03  2.43012292e-03  3.31604201e-04  7.07653677e-01  3.12629471e-01  1.30625696e+00  7.32838400e+00 
 1.60000000e+00  1.88465569e-03  2.42673977e-03  3.34163888e-04  7.07653677e-01  3.14427137e-01  1.28763030e+00  7.26212454e+00 
 1.61000000e+00  1.90890565e-03  2.42323150e-03  3.36725710e-04  7.07653677e-01  3.16230165e-01  1.26943492e+00  7.19645522e+00 
 1.62000000e+00  1.93311992e-03  2.41960181e-03  3.39290262e-04  7.07653677e-01  3.18038914e-01  1.25165635e+00  7.13136238e+00 
 1.63000000e+00  1.95729729e-03  2.41585432e-03  3.41858130e-04  7.07653677e-01  3.19853731e-01  1.23428072e+00  7.06683301e+00 
 1.64000000e+00  1.98143662e-03  2.41199251e-03  3.44429897e-04  7.07653677e-01  3.21674950e-01  1.21729481e+00  7.00285468e+00 
 1.65000000e+00  2.00553678e-03  2.40801979e-03  3.47006140e-04  7.07653677e-01  3.23502890e-01  1.20068593e+00  6.93941551e+00 
 1.66000000e+00  2.02959666e-03  2.40393945e-03  3.49587435e-04  7.07653677e-01  3.25337861e-01  1.18444196e+00  6.87650414e+00 
 1.67000000e+00  2.05361522e-03  2.39975467e-03  3.52174354e-04  7.07653677e-01  3.27180162e-01  1.16855127e+00  6.81410968e+00 
 1.68000000e+00  2.07759142e-03  2.39546857e-03  3.54767465e-04  7.07653677e-01  3.29030079e-01  1.15300273e+00  6.75222167e+00 
 1.69000000e+00  2.10152426e-03  2.39108413e-03  3.57367337e-04  7.07653677e-01  3.30887890e-01  1.13778564e+00  6.69083008e+00 
