 frequency              gain                  
 5.411695265464675e+01  1.046673024073311e+00 
 5.516538667595619e+01  1.046673024072851e+00 
 5.623413251903531e+01  1.046673024072370e+00 
 5.732358369467754e+01  1.046673024071872e+00 
 5.843414133735218e+01  1.046673024071311e+00 
 5.956621435290148e+01  1.046673024070775e+00 
 6.072021956909929e+01  1.046673024070183e+00 
 6.189658188912651e+01  1.046673024069608e+00 
 6.309573444801979e+01  1.046673024068977e+00 
 6.431811877215135e+01  1.046673024068358e+00 
 6.556418494179837e+01  1.046673024067683e+00 
 6.683439175686196e+01  1.046673024066977e+00 
 6.812920690579664e+01  1.046673024066250e+00 
 6.944910713781265e+01  1.046673024065495e+00 
 7.079457843841433e+01  1.046673024064719e+00 
 7.216611620833937e+01  1.046673024063912e+00 
 7.356422544596469e+01  1.046673024063079e+00 
 7.498942093324617e+01  1.046673024062219e+00 
 7.644222742526063e+01  1.046673024061321e+00 
 7.792317984342003e+01  1.046673024060355e+00 
 7.943282347242878e+01  1.046673024059394e+00 
 8.097171416105684e+01  1.046673024058363e+00 
 8.254041852680250e+01  1.046673024057288e+00 
 8.413951416452018e+01  1.046673024056224e+00 
 8.576958985909010e+01  1.046673024055075e+00 
 8.743124580220807e+01  1.046673024053892e+00 
 8.912509381337527e+01  1.046673024052624e+00 
 9.085175756516942e+01  1.046673024051355e+00 
 9.261187281288011e+01  1.046673024050037e+00 
 9.440608762859311e+01  1.046673024048636e+00 
 9.623506263980966e+01  1.046673024047182e+00 
 9.809947127268855e+01  1.046673024045722e+00 
 1.000000000000008e+02  1.046673024044167e+00 
 1.019373485938881e+02  1.046673024042515e+00 
 1.039122303835178e+02  1.046673024040854e+00 
 1.059253725177298e+02  1.046673024039130e+00 
 1.079775162327719e+02  1.046673024037307e+00 
 1.100694171252219e+02  1.046673024035415e+00 
 1.122018454301973e+02  1.046673024033461e+00 
 1.143755863049548e+02  1.046673024031440e+00 
 1.165914401179842e+02  1.046673024029341e+00 
 1.188502227437029e+02  1.046673024027133e+00 
 1.211527658628599e+02  1.046673024024848e+00 
 1.234999172687595e+02  1.046673024022482e+00 
 1.258925411794178e+02  1.046673024020029e+00 
 1.283315185557662e+02  1.046673024017452e+00 
 1.308177474260206e+02  1.046673024014786e+00 
 1.333521432163336e+02  1.046673024012027e+00 
 1.359356390878538e+02  1.046673024009174e+00 
 1.385691862803140e+02  1.046673024006175e+00 
 1.412537544622767e+02  1.046673024003071e+00 
 1.439903320881646e+02  1.046673023999866e+00 
 1.467799267622083e+02  1.046673023996542e+00 
 1.496235656094447e+02  1.046673023993060e+00 
 1.525222956539033e+02  1.046673023989413e+00 
 1.554771842041188e+02  1.046673023985683e+00 
 1.584893192461128e+02  1.046673023981781e+00 
 1.615598098439889e+02  1.046673023977705e+00 
 1.646897865482883e+02  1.046673023973524e+00 
 1.678804018122576e+02  1.046673023969114e+00 
 1.711328304161796e+02  1.046673023964589e+00 
 1.744482698999270e+02  1.046673023959870e+00 
 1.778279410038939e+02  1.046673023954941e+00 
 1.812730881184716e+02  1.046673023949843e+00 
 1.847849797422308e+02  1.046673023944519e+00 
 1.883649089489818e+02  1.046673023939015e+00 
 1.920141938638820e+02  1.046673023933314e+00 
 1.957341781487679e+02  1.046673023927331e+00 
 1.995262314968899e+02  1.046673023921139e+00 
 2.033917501372311e+02  1.046673023914738e+00 
 2.073321573485975e+02  1.046673023908064e+00 
 2.113489039836667e+02  1.046673023901117e+00 
 2.154434690031904e+02  1.046673023893924e+00 
 2.196173600205457e+02  1.046673023886396e+00 
 2.238721138568361e+02  1.046673023878610e+00 
 2.282092971067473e+02  1.046673023870550e+00 
 2.326305067153649e+02  1.046673023862130e+00 
 2.371373705661678e+02  1.046673023853407e+00 
 2.417315480804128e+02  1.046673023844342e+00 
 2.464147308281306e+02  1.046673023834874e+00 
 2.511886431509605e+02  1.046673023825080e+00 
 2.560550427970502e+02  1.046673023814902e+00 
 2.610157215682563e+02  1.046673023804324e+00 
 2.660725059798837e+02  1.046673023793330e+00 
 2.712272579332056e+02  1.046673023781915e+00 
 2.764818754010136e+02  1.046673023770019e+00 
 2.818382931264483e+02  1.046673023757664e+00 
 2.872984833353694e+02  1.046673023744876e+00 
 2.928644564625267e+02  1.046673023731517e+00 
 2.985382618917990e+02  1.046673023717698e+00 
 3.043219887107753e+02  1.046673023703305e+00 
 3.102177664799533e+02  1.046673023688373e+00 
 3.162277660168412e+02  1.046673023672826e+00 
 3.223542001952496e+02  1.046673023656699e+00 
 3.285993247600689e+02  1.046673023639925e+00 
 3.349654391578312e+02  1.046673023622486e+00 
 3.414548873833638e+02  1.046673023604389e+00 
 3.480700588428447e+02  1.046673023585537e+00 
 3.548133892335792e+02  1.046673023565986e+00 
 3.616873614408197e+02  1.046673023545669e+00 
 3.686945064519614e+02  1.046673023524561e+00 
 3.758374042884482e+02  1.046673023502632e+00 
 3.831186849557329e+02  1.046673023479804e+00 
 3.905410294116422e+02  1.046673023456139e+00 
