 time            v(vdd)          cm              v(xpga.xamp.bn) v(xpga.xamp.bp) v(xpga.xamp.start) i(vdd)         
 2.13000000e-06  1.80000000e+00  7.89634586e-01  6.32515844e-01  6.82552519e-01  4.25859836e-03 -1.34551570e-04 
 2.15000000e-06  1.80000000e+00  8.01281277e-01  6.32489809e-01  6.82583841e-01  4.26044011e-03 -1.33540752e-04 
 2.17000000e-06  1.80000000e+00  8.12756121e-01  6.32476537e-01  6.82599836e-01  4.26125020e-03 -1.32969499e-04 
 2.19000000e-06  1.80000000e+00  8.24027631e-01  6.32469548e-01  6.82607141e-01  4.26178989e-03 -1.32780592e-04 
 2.21000000e-06  1.80000000e+00  8.35138882e-01  6.32465490e-01  6.82610448e-01  4.26198198e-03 -1.32944612e-04 
 2.23000000e-06  1.80000000e+00  8.46159782e-01  6.32453934e-01  6.82614579e-01  4.26250150e-03 -1.33514368e-04 
 2.25000000e-06  1.80000000e+00  8.57135259e-01  6.32427846e-01  6.82625101e-01  4.26379281e-03 -1.34540872e-04 
 2.27000000e-06  1.80000000e+00  8.68084604e-01  6.32386902e-01  6.82645047e-01  4.26601704e-03 -1.36125004e-04 
 2.29000000e-06  1.80000000e+00  8.79034343e-01  6.32350517e-01  6.82670234e-01  4.26843056e-03 -1.38323127e-04 
 2.31000000e-06  1.80000000e+00  8.90024237e-01  6.32344284e-01  6.82687833e-01  4.26932312e-03 -1.41175387e-04 
 2.33000000e-06  1.80000000e+00  9.01096687e-01  6.32383442e-01  6.82684012e-01  4.26772997e-03 -1.44603953e-04 
 2.35000000e-06  1.80000000e+00  9.12288240e-01  6.32456913e-01  6.82654337e-01  4.26367357e-03 -1.48483888e-04 
 2.37000000e-06  1.80000000e+00  9.23625684e-01  6.32537783e-01  6.82607842e-01  4.25891466e-03 -1.52616392e-04 
 2.39000000e-06  1.80000000e+00  9.35125358e-01  6.32592216e-01  6.82562648e-01  4.25507424e-03 -1.56839633e-04 
 2.41000000e-06  1.80000000e+00  9.46796969e-01  6.32601732e-01  6.82536835e-01  4.25396547e-03 -1.60989428e-04 
 2.43000000e-06  1.80000000e+00  9.58649782e-01  6.32572257e-01  6.82537897e-01  4.25518061e-03 -1.64981024e-04 
 2.45000000e-06  1.80000000e+00  9.70711926e-01  6.32536128e-01  6.82557583e-01  4.25758861e-03 -1.68745292e-04 
 2.47000000e-06  1.80000000e+00  9.83050691e-01  6.32506843e-01  6.82581854e-01  4.25919562e-03 -1.72264679e-04 
 2.49000000e-06  1.80000000e+00  9.95588701e-01  6.32492960e-01  6.82600559e-01  4.26050885e-03 -1.75544580e-04 
 2.51000000e-06  1.80000000e+00  1.00793808e+00  6.32484880e-01  6.82609012e-01  4.26066024e-03 -1.78531969e-04 
 2.53000000e-06  1.80000000e+00  1.01880592e+00  6.32487006e-01  6.82600261e-01  4.26110574e-03 -1.81188833e-04 
 2.55000000e-06  1.80000000e+00  1.02468518e+00  6.32508469e-01  6.82550703e-01  4.25982218e-03 -1.83513198e-04 
 2.57000000e-06  1.80000000e+00  1.02049201e+00  6.32566509e-01  6.82435275e-01  4.25742043e-03 -1.85460694e-04 
 2.59000000e-06  1.80000000e+00  1.00295877e+00  6.32662878e-01  6.82258929e-01  4.25187932e-03 -1.86895120e-04 
 2.61000000e-06  1.80000000e+00  9.72385201e-01  6.32782177e-01  6.82056405e-01  4.24546720e-03 -1.87540827e-04 
 2.63000000e-06  1.80000000e+00  9.31976188e-01  6.32896710e-01  6.81870738e-01  4.23819923e-03 -1.87006352e-04 
 2.65000000e-06  1.80000000e+00  8.86768542e-01  6.32984937e-01  6.81739008e-01  4.23298724e-03 -1.84631505e-04 
 2.67000000e-06  1.80000000e+00  8.43007487e-01  6.33028904e-01  6.81688851e-01  4.22938759e-03 -1.79633123e-04 
 2.69000000e-06  1.80000000e+00  8.07189040e-01  6.33021359e-01  6.81734242e-01  4.22947718e-03 -1.71758913e-04 
 2.71000000e-06  1.80000000e+00  7.83788124e-01  6.32962763e-01  6.81862978e-01  4.23186126e-03 -1.62277948e-04 
 2.73000000e-06  1.80000000e+00  7.73363940e-01  6.32869311e-01  6.82036316e-01  4.23730972e-03 -1.53362857e-04 
 2.75000000e-06  1.80000000e+00  7.73124182e-01  6.32762472e-01  6.82209203e-01  4.24312338e-03 -1.46461117e-04 
 2.77000000e-06  1.80000000e+00  7.79326043e-01  6.32665206e-01  6.82352877e-01  4.24939242e-03 -1.41673542e-04 
 2.79000000e-06  1.80000000e+00  7.88901798e-01  6.32588366e-01  6.82457623e-01  4.25382510e-03 -1.38526382e-04 
 2.81000000e-06  1.80000000e+00  7.99900097e-01  6.32536038e-01  6.82526335e-01  4.25756150e-03 -1.36495652e-04 
 2.83000000e-06  1.80000000e+00  8.11297889e-01  6.32502901e-01  6.82567337e-01  4.25935573e-03 -1.35255781e-04 
 2.85000000e-06  1.80000000e+00  8.22670780e-01  6.32485154e-01  6.82589709e-01  4.26092927e-03 -1.34587479e-04 
 2.87000000e-06  1.80000000e+00  8.33890691e-01  6.32475586e-01  6.82600683e-01  4.26119795e-03 -1.34417668e-04 
 2.89000000e-06  1.80000000e+00  8.44954209e-01  6.32472193e-01  6.82605346e-01  4.26183211e-03 -1.34698068e-04 
 2.91000000e-06  1.80000000e+00  8.55911532e-01  6.32469679e-01  6.82607124e-01  4.26159184e-03 -1.35515015e-04 
 2.93000000e-06  1.80000000e+00  8.66829071e-01  6.32466817e-01  6.82608686e-01  4.26211444e-03 -1.36872631e-04 
 2.95000000e-06  1.80000000e+00  8.77759617e-01  6.32460218e-01  6.82611693e-01  4.26206741e-03 -1.38861543e-04 
 2.97000000e-06  1.80000000e+00  8.88739101e-01  6.32457067e-01  6.82615479e-01  4.26274969e-03 -1.41472908e-04 
 2.99000000e-06  1.80000000e+00  8.99800948e-01  6.32460861e-01  6.82616947e-01  4.26224182e-03 -1.44667780e-04 
 3.01000000e-06  1.80000000e+00  9.10979425e-01  6.32474026e-01  6.82613844e-01  4.26198807e-03 -1.48296707e-04 
 3.03000000e-06  1.80000000e+00  9.22304595e-01  6.32487792e-01  6.82607223e-01  4.26071404e-03 -1.52216902e-04 
 3.05000000e-06  1.80000000e+00  9.33801184e-01  6.32496095e-01  6.82601304e-01  4.26052706e-03 -1.56252041e-04 
 3.07000000e-06  1.80000000e+00  9.45495805e-01  6.32494089e-01  6.82599952e-01  4.26009253e-03 -1.60298332e-04 
 3.09000000e-06  1.80000000e+00  9.57429973e-01  6.32487590e-01  6.82603983e-01  4.26087337e-03 -1.64243361e-04 
 3.11000000e-06  1.80000000e+00  9.69615008e-01  6.32481601e-01  6.82610386e-01  4.26085919e-03 -1.68055390e-04 
 3.13000000e-06  1.80000000e+00  9.81943505e-01  6.32479029e-01  6.82615378e-01  4.26144214e-03 -1.71668333e-04 
 3.15000000e-06  1.80000000e+00  9.94081573e-01  6.32477503e-01  6.82616060e-01  4.26115144e-03 -1.75033902e-04 
 3.17000000e-06  1.80000000e+00  1.00484331e+00  6.32483275e-01  6.82603779e-01  4.26136308e-03 -1.78091513e-04 
 3.19000000e-06  1.80000000e+00  1.01107798e+00  6.32504730e-01  6.82556357e-01  4.26000364e-03 -1.80812312e-04 
 3.21000000e-06  1.80000000e+00  1.00821779e+00  6.32558647e-01  6.82450695e-01  4.25780611e-03 -1.83109529e-04 
 3.23000000e-06  1.80000000e+00  9.93053456e-01  6.32647194e-01  6.82288259e-01  4.25265698e-03 -1.84810853e-04 
 3.25000000e-06  1.80000000e+00  9.65640246e-01  6.32758353e-01  6.82099401e-01  4.24676668e-03 -1.85633657e-04 
 3.27000000e-06  1.80000000e+00  9.28808292e-01  6.32866683e-01  6.81923728e-01  4.23985854e-03 -1.85178644e-04 
 3.29000000e-06  1.80000000e+00  8.87318435e-01  6.32951085e-01  6.81797774e-01  4.23492392e-03 -1.82812826e-04 
 3.31000000e-06  1.80000000e+00  8.47145362e-01  6.32993776e-01  6.81748924e-01  4.23140695e-03 -1.78004653e-04 
 3.33000000e-06  1.80000000e+00  8.14196238e-01  6.32988123e-01  6.81788423e-01  4.23145913e-03 -1.70644314e-04 
 3.35000000e-06  1.80000000e+00  7.92493798e-01  6.32934794e-01  6.81904459e-01  4.23356051e-03 -1.61890255e-04 
 3.37000000e-06  1.80000000e+00  7.82628711e-01  6.32849361e-01  6.82062397e-01  4.23859969e-03 -1.53597197e-04 
 3.39000000e-06  1.80000000e+00  7.82275536e-01  6.32750655e-01  6.82222340e-01  4.24389701e-03 -1.47041840e-04 
 3.41000000e-06  1.80000000e+00  7.88135449e-01  6.32659971e-01  6.82357528e-01  4.24978742e-03 -1.42391948e-04 
 3.43000000e-06  1.80000000e+00  7.97387577e-01  6.32587102e-01  6.82457800e-01  4.25391799e-03 -1.39289550e-04 
 3.45000000e-06  1.80000000e+00  8.08151083e-01  6.32536782e-01  6.82524674e-01  4.25755267e-03 -1.37287238e-04 
 3.47000000e-06  1.80000000e+00  8.19396777e-01  6.32504451e-01  6.82565194e-01  4.25925391e-03 -1.36094103e-04 
 3.49000000e-06  1.80000000e+00  8.30672988e-01  6.32486881e-01  6.82587643e-01  4.26084356e-03 -1.35512897e-04 
 3.51000000e-06  1.80000000e+00  8.41832613e-01  6.32477447e-01  6.82598845e-01  4.26107841e-03 -1.35481049e-04 
 3.53000000e-06  1.80000000e+00  8.52862510e-01  6.32474108e-01  6.82603720e-01  4.26173164e-03 -1.35973146e-04 
 3.55000000e-06  1.80000000e+00  8.63805023e-01  6.32472505e-01  6.82605448e-01  4.26143985e-03 -1.37042553e-04 
 3.57000000e-06  1.80000000e+00  8.74722202e-01  6.32472450e-01  6.82606140e-01  4.26184653e-03 -1.38722109e-04 
 3.59000000e-06  1.80000000e+00  8.85673012e-01  6.32471579e-01  6.82606873e-01  4.26149627e-03 -1.41051552e-04 
 3.61000000e-06  1.80000000e+00  8.96703251e-01  6.32472811e-01  6.82607687e-01  4.26185716e-03 -1.43976680e-04 
 3.63000000e-06  1.80000000e+00  9.07849469e-01  6.32475826e-01  6.82607768e-01  4.26132046e-03 -1.47405616e-04 
 3.65000000e-06  1.80000000e+00  9.19144343e-01  6.32480564e-01  6.82607022e-01  4.26142813e-03 -1.51169233e-04 
 3.67000000e-06  1.80000000e+00  9.30619758e-01  6.32482425e-01  6.82606619e-01  4.26088176e-03 -1.55125734e-04 
 3.69000000e-06  1.80000000e+00  9.42309551e-01  6.32481849e-01  6.82608015e-01  4.26126323e-03 -1.59128214e-04 
 3.71000000e-06  1.80000000e+00  9.54233730e-01  6.32479409e-01  6.82611129e-01  4.26102943e-03 -1.63098584e-04 
 3.73000000e-06  1.80000000e+00  9.66356670e-01  6.32478027e-01  6.82614573e-01  4.26149234e-03 -1.66953089e-04 
 3.75000000e-06  1.80000000e+00  9.78533558e-01  6.32476694e-01  6.82616573e-01  4.26121176e-03 -1.70641306e-04 
 3.77000000e-06  1.80000000e+00  9.90261506e-01  6.32478504e-01  6.82613268e-01  4.26152590e-03 -1.74082102e-04 
 3.79000000e-06  1.80000000e+00  9.99876478e-01  6.32487812e-01  6.82592151e-01  4.26078300e-03 -1.77233182e-04 
