 frequency              gain                  
 8.097171416105754e+03  1.595547712923886e+01 
 8.254041852680322e+03  1.595544288579739e+01 
 8.413951416452092e+03  1.595540730265185e+01 
 8.576958985909085e+03  1.595537032738741e+01 
 8.743124580220883e+03  1.595533190553856e+01 
 8.912509381337606e+03  1.595529198051179e+01 
 9.085175756517023e+03  1.595525049349607e+01 
 9.261187281288094e+03  1.595520738337918e+01 
 9.440608762859396e+03  1.595516258665994e+01 
 9.623506263981051e+03  1.595511603735102e+01 
 9.809947127268942e+03  1.595506766688601e+01 
 1.000000000000017e+04  1.595501740401179e+01 
 1.019373485938890e+04  1.595496517469028e+01 
 1.039122303835187e+04  1.595491090198495e+01 
 1.059253725177307e+04  1.595485450595208e+01 
 1.079775162327729e+04  1.595479590351515e+01 
 1.100694171252229e+04  1.595473500835102e+01 
 1.122018454301983e+04  1.595467173075793e+01 
 1.143755863049558e+04  1.595460597752313e+01 
 1.165914401179852e+04  1.595453765178866e+01 
 1.188502227437039e+04  1.595446665290591e+01 
 1.211527658628610e+04  1.595439287628713e+01 
 1.234999172687607e+04  1.595431621325454e+01 
 1.258925411794190e+04  1.595423655087625e+01 
 1.283315185557674e+04  1.595415377180020e+01 
 1.308177474260217e+04  1.595406775408997e+01 
 1.333521432163348e+04  1.595397837102489e+01 
 1.359356390878550e+04  1.595388549094023e+01 
 1.385691862803152e+04  1.595378897700967e+01 
 1.412537544622780e+04  1.595368868705341e+01 
 1.439903320881659e+04  1.595358447333590e+01 
 1.467799267622096e+04  1.595347618232970e+01 
 1.496235656094461e+04  1.595336365451213e+01 
 1.525222956539047e+04  1.595324672410311e+01 
 1.554771842041202e+04  1.595312521885195e+01 
 1.584893192461143e+04  1.595299895975768e+01 
 1.615598098439904e+04  1.595286776081637e+01 
 1.646897865482899e+04  1.595273142874564e+01 
 1.678804018122592e+04  1.595258976269990e+01 
 1.711328304161813e+04  1.595244255397669e+01 
 1.744482698999287e+04  1.595228958569990e+01 
 1.778279410038956e+04  1.595213063251115e+01 
 1.812730881184733e+04  1.595196546023370e+01 
 1.847849797422326e+04  1.595179382552363e+01 
 1.883649089489836e+04  1.595161547551607e+01 
 1.920141938638838e+04  1.595143014744688e+01 
 1.957341781487698e+04  1.595123756827514e+01 
 1.995262314968918e+04  1.595103745426729e+01 
 2.033917501372331e+04  1.595082951058650e+01 
 2.073321573485995e+04  1.595061343086491e+01 
 2.113489039836688e+04  1.595038889673342e+01 
 2.154434690031925e+04  1.595015557736581e+01 
 2.196173600205479e+04  1.594991312899456e+01 
 2.238721138568383e+04  1.594966119438708e+01 
 2.282092971067495e+04  1.594939940233477e+01 
 2.326305067153671e+04  1.594912736709940e+01 
 2.371373705661701e+04  1.594884468784198e+01 
 2.417315480804151e+04  1.594855094803854e+01 
 2.464147308281330e+04  1.594824571485567e+01 
 2.511886431509629e+04  1.594792853852012e+01 
 2.560550427970526e+04  1.594759895165276e+01 
 2.610157215682588e+04  1.594725646858007e+01 
 2.660725059798862e+04  1.594690058461194e+01 
 2.712272579332082e+04  1.594653077530772e+01 
 2.764818754010162e+04  1.594614649569301e+01 
 2.818382931264510e+04  1.594574717945815e+01 
 2.872984833353721e+04  1.594533223812276e+01 
 2.928644564625295e+04  1.594490106016566e+01 
 2.985382618918019e+04  1.594445301012818e+01 
 3.043219887107782e+04  1.594398742767227e+01 
 3.102177664799563e+04  1.594350362659786e+01 
 3.162277660168443e+04  1.594300089384238e+01 
 3.223542001952527e+04  1.594247848842727e+01 
 3.285993247600720e+04  1.594193564035288e+01 
 3.349654391578344e+04  1.594137154946890e+01 
