 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 2.81838293e+00  2.60566867e+03 -9.11913749e-01  1.00000000e+00 -2.90800173e-21  2.60566867e+03 -9.11913749e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.87298483e+00  2.60566866e+03 -9.29821149e-01  1.00000000e+00 -2.85347239e-21  2.60566866e+03 -9.29821149e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.92864456e+00  2.60566864e+03 -9.48070909e-01  1.00000000e+00 -2.79993812e-21  2.60566864e+03 -9.48070909e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.98538262e+00  2.60566863e+03 -9.66669746e-01  1.00000000e+00 -2.74738232e-21  2.60566863e+03 -9.66669746e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.04321989e+00  2.60566862e+03 -9.85624509e-01  1.00000000e+00 -2.69578857e-21  2.60566862e+03 -9.85624509e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.10217766e+00  2.60566860e+03 -1.00494218e+00  1.00000000e+00 -2.64514065e-21  2.60566860e+03 -1.00494218e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+00  2.60566859e+03 -1.02462986e+00  1.00000000e+00 -2.59542252e-21  2.60566859e+03 -1.02462986e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.22354200e+00  2.60566857e+03 -1.04469482e+00  1.00000000e+00 -2.54661835e-21  2.60566857e+03 -1.04469482e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.28599325e+00  2.60566855e+03 -1.06514443e+00  1.00000000e+00 -2.49871249e-21  2.60566855e+03 -1.06514443e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.34965439e+00  2.60566854e+03 -1.08598622e+00  1.00000000e+00 -2.45168951e-21  2.60566854e+03 -1.08598622e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
