 frequency       av              ph             
 1.00000000e+04 -8.46924357e-03 -8.44052640e-02 
 1.02920053e+04 -8.46979806e-03 -8.68699328e-02 
 1.05925373e+04 -8.47038541e-03 -8.94065703e-02 
 1.09018449e+04 -8.47100756e-03 -9.20172781e-02 
 1.12201845e+04 -8.47166657e-03 -9.47042190e-02 
 1.15478198e+04 -8.47236464e-03 -9.74696188e-02 
 1.18850223e+04 -8.47310406e-03 -1.00315768e-01 
 1.22320712e+04 -8.47388730e-03 -1.03245026e-01 
 1.25892541e+04 -8.47471695e-03 -1.06259818e-01 
 1.29568670e+04 -8.47559575e-03 -1.09362642e-01 
 1.33352143e+04 -8.47652663e-03 -1.12556068e-01 
 1.37246096e+04 -8.47751266e-03 -1.15842742e-01 
 1.41253754e+04 -8.47855712e-03 -1.19225387e-01 
 1.45378439e+04 -8.47966347e-03 -1.22706805e-01 
 1.49623566e+04 -8.48083536e-03 -1.26289879e-01 
 1.53992653e+04 -8.48207670e-03 -1.29977579e-01 
 1.58489319e+04 -8.48339158e-03 -1.33772958e-01 
 1.63117291e+04 -8.48478438e-03 -1.37679161e-01 
 1.67880402e+04 -8.48625970e-03 -1.41699425e-01 
 1.72782598e+04 -8.48782243e-03 -1.45837078e-01 
 1.77827941e+04 -8.48947776e-03 -1.50095549e-01 
 1.83020611e+04 -8.49123117e-03 -1.54478365e-01 
 1.88364909e+04 -8.49308847e-03 -1.58989157e-01 
 1.93865264e+04 -8.49505582e-03 -1.63631661e-01 
 1.99526231e+04 -8.49713973e-03 -1.68409723e-01 
 2.05352503e+04 -8.49934711e-03 -1.73327301e-01 
 2.11348904e+04 -8.50168529e-03 -1.78388468e-01 
 2.17520403e+04 -8.50416200e-03 -1.83597416e-01 
 2.23872114e+04 -8.50678545e-03 -1.88958461e-01 
 2.30409298e+04 -8.50956435e-03 -1.94476042e-01 
 2.37137371e+04 -8.51250789e-03 -2.00154729e-01 
 2.44061907e+04 -8.51562583e-03 -2.05999227e-01 
 2.51188643e+04 -8.51892850e-03 -2.12014376e-01 
 2.58523484e+04 -8.52242686e-03 -2.18205159e-01 
 2.66072506e+04 -8.52613249e-03 -2.24576701e-01 
 2.73841963e+04 -8.53005766e-03 -2.31134282e-01 
 2.81838293e+04 -8.53421540e-03 -2.37883331e-01 
 2.90068120e+04 -8.53861946e-03 -2.44829439e-01 
 2.98538262e+04 -8.54328446e-03 -2.51978358e-01 
 3.07255737e+04 -8.54822583e-03 -2.59336008e-01 
 3.16227766e+04 -8.55345997e-03 -2.66908483e-01 
 3.25461783e+04 -8.55900420e-03 -2.74702053e-01 
 3.34965439e+04 -8.56487690e-03 -2.82723173e-01 
 3.44746607e+04 -8.57109753e-03 -2.90978484e-01 
 3.54813389e+04 -8.57768668e-03 -2.99474824e-01 
 3.65174127e+04 -8.58466621e-03 -3.08219225e-01 
 3.75837404e+04 -8.59205921e-03 -3.17218930e-01 
 3.86812055e+04 -8.59989020e-03 -3.26481390e-01 
 3.98107171e+04 -8.60818510e-03 -3.36014273e-01 
 4.09732110e+04 -8.61697139e-03 -3.45825473e-01 
 4.21696503e+04 -8.62627818e-03 -3.55923111e-01 
 4.34010264e+04 -8.63613630e-03 -3.66315547e-01 
 4.46683592e+04 -8.64657839e-03 -3.77011384e-01 
 4.59726989e+04 -8.65763905e-03 -3.88019475e-01 
 4.73151259e+04 -8.66935489e-03 -3.99348933e-01 
 4.86967525e+04 -8.68176472e-03 -4.11009134e-01 
 5.01187234e+04 -8.69490964e-03 -4.23009730e-01 
 5.15822165e+04 -8.70883316e-03 -4.35360651e-01 
 5.30884444e+04 -8.72358140e-03 -4.48072118e-01 
 5.46386550e+04 -8.73920318e-03 -4.61154651e-01 
 5.62341325e+04 -8.75575023e-03 -4.74619073e-01 
 5.78761988e+04 -8.77327731e-03 -4.88476525e-01 
 5.95662144e+04 -8.79184245e-03 -5.02738471e-01 
 6.13055792e+04 -8.81150709e-03 -5.17416708e-01 
 6.30957344e+04 -8.83233632e-03 -5.32523378e-01 
 6.49381632e+04 -8.85439907e-03 -5.48070976e-01 
 6.68343918e+04 -8.87776835e-03 -5.64072358e-01 
 6.87859912e+04 -8.90252148e-03 -5.80540756e-01 
 7.07945784e+04 -8.92874035e-03 -5.97489787e-01 
 7.28618175e+04 -8.95651169e-03 -6.14933462e-01 
 7.49894209e+04 -8.98592736e-03 -6.32886201e-01 
 7.71791516e+04 -9.01708464e-03 -6.51362841e-01 
 7.94328235e+04 -9.05008657e-03 -6.70378650e-01 
 8.17523038e+04 -9.08504225e-03 -6.89949341e-01 
 8.41395142e+04 -9.12206724e-03 -7.10091081e-01 
 8.65964323e+04 -9.16128393e-03 -7.30820507e-01 
 8.91250938e+04 -9.20282190e-03 -7.52154737e-01 
 9.17275935e+04 -9.24681841e-03 -7.74111388e-01 
 9.44060876e+04 -9.29341879e-03 -7.96708583e-01 
 9.71627952e+04 -9.34277697e-03 -8.19964975e-01 
 1.00000000e+05 -9.39505594e-03 -8.43899751e-01 
 1.02920053e+05 -9.45042828e-03 -8.68532658e-01 
 1.05925373e+05 -9.50907676e-03 -8.93884011e-01 
 1.09018449e+05 -9.57119492e-03 -9.19974713e-01 
 1.12201845e+05 -9.63698767e-03 -9.46826269e-01 
 1.15478198e+05 -9.70667200e-03 -9.74460807e-01 
 1.18850223e+05 -9.78047767e-03 -1.00290109e+00 
 1.22320712e+05 -9.85864793e-03 -1.03217054e+00 
 1.25892541e+05 -9.94144036e-03 -1.06229326e+00 
 1.29568670e+05 -1.00291276e-02 -1.09329402e+00 
 1.33352143e+05 -1.01219985e-02 -1.12519833e+00 
 1.37246096e+05 -1.02203586e-02 -1.15803243e+00 
 1.41253754e+05 -1.03245314e-02 -1.19182329e+00 
 1.45378439e+05 -1.04348597e-02 -1.22659867e+00 
 1.49623566e+05 -1.05517059e-02 -1.26238713e+00 
 1.53992653e+05 -1.06754540e-02 -1.29921804e+00 
 1.58489319e+05 -1.08065103e-02 -1.33712159e+00 
 1.63117291e+05 -1.09453048e-02 -1.37612887e+00 
 1.67880402e+05 -1.10922928e-02 -1.41627181e+00 
 1.72782598e+05 -1.12479559e-02 -1.45758329e+00 
 1.77827941e+05 -1.14128041e-02 -1.50009709e+00 
 1.83020611e+05 -1.15873769e-02 -1.54384797e+00 
 1.88364909e+05 -1.17722453e-02 -1.58887165e+00 
 1.93865264e+05 -1.19680134e-02 -1.63520488e+00 
 1.99526231e+05 -1.21753204e-02 -1.68288544e+00 
 2.05352503e+05 -1.23948428e-02 -1.73195216e+00 
 2.11348904e+05 -1.26272959e-02 -1.78244498e+00 
 2.17520403e+05 -1.28734366e-02 -1.83440492e+00 
 2.23872114e+05 -1.31340656e-02 -1.88787420e+00 
 2.30409298e+05 -1.34100295e-02 -1.94289616e+00 
 2.37137371e+05 -1.37022240e-02 -1.99951538e+00 
 2.44061907e+05 -1.40115961e-02 -2.05777765e+00 
 2.51188643e+05 -1.43391470e-02 -2.11773004e+00 
 2.58523484e+05 -1.46859354e-02 -2.17942090e+00 
 2.66072506e+05 -1.50530806e-02 -2.24289991e+00 
 2.73841963e+05 -1.54417654e-02 -2.30821810e+00 
 2.81838293e+05 -1.58532403e-02 -2.37542790e+00 
 2.90068120e+05 -1.62888264e-02 -2.44458314e+00 
 2.98538262e+05 -1.67499197e-02 -2.51573910e+00 
 3.07255737e+05 -1.72379950e-02 -2.58895255e+00 
 3.16227766e+05 -1.77546102e-02 -2.66428176e+00 
 3.25461783e+05 -1.83014104e-02 -2.74178657e+00 
 3.34965439e+05 -1.88801327e-02 -2.82152835e+00 
 3.44746607e+05 -1.94926111e-02 -2.90357012e+00 
 3.54813389e+05 -2.01407813e-02 -2.98797651e+00 
 3.65174127e+05 -2.08266859e-02 -3.07481383e+00 
 3.75837404e+05 -2.15524800e-02 -3.16415008e+00 
 3.86812055e+05 -2.23204367e-02 -3.25605499e+00 
 3.98107171e+05 -2.31329531e-02 -3.35060005e+00 
 4.09732110e+05 -2.39925563e-02 -3.44785854e+00 
