frequency_hz,real,imag,abs,unwrapped_phase_deg,min_singular_value
1.359356390878532039e+01,9.450982117434430867e+06,-2.851010085936645046e+05,9.455281358540659770e+06,-1.727876746247821504e+00,9.425490869183591469e-01
1.385691862803133922e+01,9.450662715842209756e+06,-2.906151032320547383e+05,9.455129978315295652e+06,-1.761333982628700889e+00,9.425490868696986269e-01
1.412537544622760954e+01,9.450330841302845627e+06,-2.962354744186477037e+05,9.454972684592155740e+06,-1.795438350939172256e+00,9.425490868204187134e-01
1.439903320881638926e+01,9.449986005134692416e+06,-3.019641483848768403e+05,9.454809244196910411e+06,-1.830202325714468836e+00,9.425490867684559460e-01
1.467799267622076087e+01,9.449627705231552944e+06,-3.078031890322516556e+05,9.454639420446353033e+06,-1.865638620482607646e+00,9.425490867149587393e-01
1.496235656094440003e+01,9.449255412409951910e+06,-3.137546977388336672e+05,9.454462959857210517e+06,-1.901760189787899291e+00,9.425490866590355843e-01
1.525222956539026065e+01,9.448868585507236421e+06,-3.198208149742422975e+05,9.454279607663204893e+06,-1.938580236605802254e+00,9.425490866008054969e-01
1.554771842041180996e+01,9.448466657617023215e+06,-3.260037201014662278e+05,9.454089094440596178e+06,-1.976112214475222117e+00,9.425490865398278295e-01
1.584893192461120925e+01,9.448049037937760353e+06,-3.323056321475484292e+05,9.453891138384956867e+06,-2.014369832518472236e+00,9.425490864771501887e-01
1.615598098439881980e+01,9.447615117599364370e+06,-3.387288108982021804e+05,9.453685451591065153e+06,-2.053367061540610994e+00,9.425490864121398582e-01
1.646897865482876000e+01,9.447164260323019698e+06,-3.452755569452129421e+05,9.453471731155088171e+06,-2.093118137021690028e+00,9.425490863444264678e-01
1.678804018122568920e+01,9.446695808408914134e+06,-3.519482128102373681e+05,9.453249665649948642e+06,-2.133637565428761818e+00,9.425490862739642761e-01
1.711328304161789049e+01,9.446209076004128903e+06,-3.587491631703893654e+05,9.453018928874427453e+06,-2.174940127886829444e+00,9.425490862011244309e-01
1.744482698999263093e+01,9.445703351316872984e+06,-3.656808357246754458e+05,9.452779182584090158e+06,-2.217040885836919273e+00,9.425490861253577046e-01
1.778279410038932085e+01,9.445177896026266739e+06,-3.727457018743057270e+05,9.452530076431861147e+06,-2.259955186209119837e+00,9.425490860466251286e-01
1.812730881184707954e+01,9.444631942869797349e+06,-3.799462772682658397e+05,9.452271246101994067e+06,-2.303698666269897277e+00,9.425490859650780262e-01
1.847849797422300000e+01,9.444064692837221548e+06,-3.872851223119356437e+05,9.452002311069268733e+06,-2.348287258442838699e+00,9.425490858791648607e-01
1.883649089489809825e+01,9.443475319678129628e+06,-3.947648432490486884e+05,9.451722879710100591e+06,-2.393737196866097428e+00,9.425490857898420893e-01
1.920141938638811041e+01,9.442862959994820878e+06,-4.023880921307887766e+05,9.451432539987301454e+06,-2.440065020836523768e+00,9.425490856976289633e-01
1.957341781487669863e+01,9.442226725359216332e+06,-4.101575685031641624e+05,9.451130872233664617e+06,-2.487287583197243190e+00,9.425490856026608189e-01
1.995262314968890038e+01,9.441565686178287491e+06,-4.180760188891381840e+05,9.450817433639772236e+06,-2.535422052623260480e+00,9.425490855041872562e-01
2.033917501372301828e+01,9.440878876838205382e+06,-4.261462379041322274e+05,9.450491764094060287e+06,-2.584485920516804036e+00,9.425490853993664375e-01
2.073321573485965885e+01,9.440165298378260806e+06,-4.343710692616246524e+05,9.450153389576097950e+06,-2.634497007817588443e+00,9.425490852921643015e-01
2.113489039836657923e+01,9.439423911667583510e+06,-4.427534059326312272e+05,9.449801816050253808e+06,-2.685473469348720332e+00,9.425490851811461068e-01
2.154434690031894917e+01,9.438653634417871013e+06,-4.512961906253566267e+05,9.449436527231803164e+06,-2.737433799261678846e+00,9.425490850649284047e-01
2.196173600205447940e+01,9.437853350167695433e+06,-4.600024173637021449e+05,9.449056994391135871e+06,-2.790396839759954339e+00,9.425490849456318321e-01
2.238721138568352131e+01,9.437021892989514396e+06,-4.688751308372491621e+05,9.448662661831093952e+06,-2.844381783385277807e+00,9.425490848183755155e-01
2.282092971067462983e+01,9.436158053364183754e+06,-4.779174276748770499e+05,9.448252953628258780e+06,-2.899408181045096899e+00,9.425490846892873309e-01
2.326305067153639072e+01,9.435260576677050442e+06,-4.871324570651632384e+05,9.447827273004228249e+06,-2.955495948256495975e+00,9.425490845535977602e-01
2.371373705661667941e+01,9.434328156595299020e+06,-4.965234208591795177e+05,9.447384996589720249e+06,-3.012665370007867160e+00,9.425490844123189937e-01
2.417315480804116845e+01,9.433359444829165936e+06,-5.060935752546261647e+05,9.446925485165089369e+06,-3.070937110189647878e+00,9.425490842676129688e-01
2.464147308281295068e+01,9.432353035182110965e+06,-5.158462299869555864e+05,9.446448068628808483e+06,-3.130332214156381188e+00,9.425490841153871813e-01
2.511886431509594075e+01,9.431307465874237940e+06,-5.257847492182428250e+05,9.445952049336563796e+06,-3.190872116081909127e+00,9.425490839583422487e-01
2.560550427970490972e+01,9.430221223515257239e+06,-5.359125526857321383e+05,9.445436707138730213e+06,-3.252578647324921413e+00,9.425490837947340106e-01
2.610157215682551879e+01,9.429092735989794135e+06,-5.462331156797232106e+05,9.444901293320151046e+06,-3.315474041529766769e+00,9.425490836248823223e-01
2.660725059798825143e+01,9.427920369609432295e+06,-5.567499694024712080e+05,9.444345028858596459e+06,-3.379580940887001894e+00,9.425490834473617685e-01
2.712272579332044131e+01,9.426702429795304313e+06,-5.674667017386173829e+05,9.443767106271246448e+06,-3.444922403820637413e+00,9.425490832637718475e-01
2.764818754010124024e+01,9.425437152325091884e+06,-5.783869568864421453e+05,9.443166682015439495e+06,-3.511521909364487382e+00,9.425490830722029756e-01
2.818382931264470059e+01,9.424122717829255387e+06,-5.895144377262566704e+05,9.442542892303597182e+06,-3.579403369796453571e+00,9.425490828744786942e-01
2.872984833353682177e+01,9.422757226096404716e+06,-6.008529034570612712e+05,9.441894828557709232e+06,-3.648591129629982444e+00,9.425490826688417423e-01
2.928644564625254176e+01,9.421338709208715707e+06,-6.124061716994591989e+05,9.441221551937554032e+06,-3.719109977623927143e+00,9.425490824543724111e-01
2.985382618917978093e+01,9.419865123698480427e+06,-6.241781181643327000e+05,9.440522086826881394e+06,-3.790985152026838723e+00,9.425490822317228456e-01
3.043219887107740007e+01,9.418334348768845201e+06,-6.361726769766852958e+05,9.439795420459637418e+06,-3.864242347807580469e+00,9.425490820004811532e-01
