 frequency       gain_db         phase_raw_deg	manifest_sha256
 8.25404185e+00  7.43761075e+01 -1.25363305e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 8.41395142e+00  7.43761067e+01 -1.27793908e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 8.57695899e+00  7.43761058e+01 -1.30271564e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 8.74312458e+00  7.43761049e+01 -1.32797186e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 8.91250938e+00  7.43761040e+01 -1.35371702e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 9.08517576e+00  7.43761031e+01 -1.37996062e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 9.26118728e+00  7.43761021e+01 -1.40671230e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 9.44060876e+00  7.43761011e+01 -1.43398193e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 9.62350626e+00  7.43761000e+01 -1.46177954e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 9.80994713e+00  7.43760989e+01 -1.49011536e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.00000000e+01  7.43760977e+01 -1.51899984e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.01937349e+01  7.43760965e+01 -1.54844359e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.03912230e+01  7.43760953e+01 -1.57845747e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.05925373e+01  7.43760940e+01 -1.60905253e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.07977516e+01  7.43760927e+01 -1.64024002e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.10069417e+01  7.43760913e+01 -1.67203143e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.12201845e+01  7.43760898e+01 -1.70443847e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.14375586e+01  7.43760883e+01 -1.73747307e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.16591440e+01  7.43760868e+01 -1.77114739e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.18850223e+01  7.43760851e+01 -1.80547382e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.21152766e+01  7.43760835e+01 -1.84046501e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.23499917e+01  7.43760817e+01 -1.87613384e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.25892541e+01  7.43760799e+01 -1.91249344e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.28331519e+01  7.43760780e+01 -1.94955719e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.30817747e+01  7.43760760e+01 -1.98733875e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.33352143e+01  7.43760740e+01 -2.02585202e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.35935639e+01  7.43760719e+01 -2.06511117e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.38569186e+01  7.43760696e+01 -2.10513068e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.41253754e+01  7.43760674e+01 -2.14592526e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.43990332e+01  7.43760650e+01 -2.18750994e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.46779927e+01  7.43760625e+01 -2.22990003e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.49623566e+01  7.43760599e+01 -2.27311113e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.52522296e+01  7.43760572e+01 -2.31715915e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.55477184e+01  7.43760545e+01 -2.36206031e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.58489319e+01  7.43760516e+01 -2.40783114e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.61559810e+01  7.43760486e+01 -2.45448848e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.64689787e+01  7.43760455e+01 -2.50204952e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.67880402e+01  7.43760422e+01 -2.55053177e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.71132830e+01  7.43760389e+01 -2.59995307e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.74448270e+01  7.43760354e+01 -2.65033161e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.77827941e+01  7.43760317e+01 -2.70168595e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.81273088e+01  7.43760279e+01 -2.75403498e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.84784980e+01  7.43760240e+01 -2.80739799e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.88364909e+01  7.43760199e+01 -2.86179461e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.92014194e+01  7.43760157e+01 -2.91724487e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.95734178e+01  7.43760113e+01 -2.97376918e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 1.99526231e+01  7.43760067e+01 -3.03138834e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.03391750e+01  7.43760020e+01 -3.09012358e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.07332157e+01  7.43759970e+01 -3.14999651e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.11348904e+01  7.43759919e+01 -3.21102917e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.15443469e+01  7.43759866e+01 -3.27324403e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.19617360e+01  7.43759810e+01 -3.33666399e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.23872114e+01  7.43759752e+01 -3.40131239e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
 2.28209297e+01  7.43759693e+01 -3.46721303e-01	89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
