 frequency              onoise_spectrum       
 1.778279410038924e+03  5.953104478892457e-07 
 1.883649089489802e+03  5.811339703363470e-07 
 1.995262314968881e+03  5.672971984545391e-07 
 2.113489039836648e+03  5.537920435104140e-07 
 2.238721138568341e+03  5.406106106009255e-07 
 2.371373705661657e+03  5.277451940366856e-07 
 2.511886431509582e+03  5.151882728358711e-07 
 2.660725059798812e+03  5.029325063259694e-07 
 2.818382931264456e+03  4.909707298505503e-07 
 2.985382618917962e+03  4.792959505793747e-07 
 3.162277660168382e+03  4.679013434179928e-07 
 3.349654391578280e+03  4.567802470158837e-07 
 3.548133892335758e+03  4.459261598698198e-07 
 3.758374042884445e+03  4.353327365206983e-07 
 3.981071705534976e+03  4.249937838408585e-07 
 4.216965034285826e+03  4.149032574109045e-07 
 4.466835921509634e+03  4.050552579828359e-07 
 4.731512589614808e+03  3.954440280277609e-07 
 5.011872336272727e+03  3.860639483663751e-07 
 5.308844442309888e+03  3.769095348797077e-07 
 5.623413251903496e+03  3.679754352989848e-07 
 5.956621435290110e+03  3.592564260716311e-07 
 6.309573444801938e+03  3.507474093024515e-07 
 6.683439175686151e+03  3.424434097681737e-07 
 7.079457843841385e+03  3.343395720025560e-07 
 7.498942093324564e+03  3.264311574515254e-07 
 7.943282347242821e+03  3.187135416962835e-07 
 8.413951416451957e+03  3.111822117422079e-07 
 8.912509381337462e+03  3.038327633725330e-07 
 9.440608762859241e+03  2.966608985648405e-07 
 1.000000000000001e+04  2.896624229693727e-07 
 1.059253725177290e+04  2.828332434468592e-07 
 1.122018454301964e+04  2.761693656647142e-07 
 1.188502227437019e+04  2.696668917506367e-07 
 1.258925411794168e+04  2.633220180012207e-07 
 1.333521432163325e+04  2.571310326449290e-07 
 1.412537544622756e+04  2.510903136579144e-07 
 1.496235656094435e+04  2.451963266309857e-07 
 1.584893192461115e+04  2.394456226867646e-07 
 1.678804018122562e+04  2.338348364457034e-07 
 1.778279410038924e+04  2.283606840395307e-07 
 1.883649089489802e+04  2.230199611707422e-07 
 1.995262314968881e+04  2.178095412176029e-07 
 2.113489039836648e+04  2.127263733823491e-07 
 2.238721138568341e+04  2.077674808824845e-07 
 2.371373705661657e+04  2.029299591831583e-07 
 2.511886431509582e+04  1.982109742700807e-07 
 2.660725059798812e+04  1.936077609613200e-07 
 2.818382931264456e+04  1.891176212573058e-07 
 2.985382618917962e+04  1.847379227274771e-07 
 3.162277660168382e+04  1.804660969329426e-07 
 3.349654391578279e+04  1.762996378835400e-07 
 3.548133892335757e+04  1.722361005287521e-07 
 3.758374042884444e+04  1.682730992808679e-07 
 3.981071705534976e+04  1.644083065696619e-07 
 4.216965034285826e+04  1.606394514275453e-07 
 4.466835921509634e+04  1.569643181039023e-07 
