polarity,physical_row,physical_col,core_row,core_col,net,electrical,instance,local_x_um,local_y_um
P,2,10,1,9,B11,1,XP_r02_c10_B11,60.000,9.080
P,2,11,1,10,B11,1,XP_r02_c11_B11,66.000,9.080
P,2,12,1,11,B11,1,XP_r02_c12_B11,72.000,9.080
P,2,13,1,12,B11,1,XP_r02_c13_B11,78.000,9.080
P,2,14,1,13,B11,1,XP_r02_c14_B11,84.000,9.080
P,2,15,1,14,B11,1,XP_r02_c15_B11,90.000,9.080
P,2,16,1,15,B11,1,XP_r02_c16_B11,96.000,9.080
P,2,17,1,16,B11,1,XP_r02_c17_B11,102.000,9.080
P,2,18,1,17,B11,1,XP_r02_c18_B11,108.000,9.080
P,2,19,1,18,B11,1,XP_r02_c19_B11,114.000,9.080
P,2,20,1,19,B11,1,XP_r02_c20_B11,120.000,9.080
P,2,21,1,20,B11,1,XP_r02_c21_B11,126.000,9.080
P,2,22,1,21,B11,1,XP_r02_c22_B11,132.000,9.080
P,2,23,1,22,B11,1,XP_r02_c23_B11,138.000,9.080
P,2,24,1,23,B11,1,XP_r02_c24_B11,144.000,9.080
P,2,25,1,24,B11,1,XP_r02_c25_B11,150.000,9.080
P,2,26,1,25,B11,1,XP_r02_c26_B11,156.000,9.080
P,2,27,1,26,B11,1,XP_r02_c27_B11,162.000,9.080
P,2,28,1,27,B11,1,XP_r02_c28_B11,168.000,9.080
P,2,29,1,28,B11,1,XP_r02_c29_B11,174.000,9.080
P,2,30,1,29,B11,1,XP_r02_c30_B11,180.000,9.080
P,2,31,1,30,B11,1,XP_r02_c31_B11,186.000,9.080
P,2,32,1,31,B11,1,XP_r02_c32_B11,192.000,9.080
P,2,33,1,32,B11,1,XP_r02_c33_B11,198.000,9.080
P,2,34,1,33,B11,1,XP_r02_c34_B11,204.000,9.080
P,2,35,1,34,B11,1,XP_r02_c35_B11,210.000,9.080
P,2,36,1,35,B11,1,XP_r02_c36_B11,216.000,9.080
P,2,37,1,36,B11,1,XP_r02_c37_B11,222.000,9.080
P,2,38,1,37,B11,1,XP_r02_c38_B11,228.000,9.080
P,2,39,1,38,B11,1,XP_r02_c39_B11,234.000,9.080
P,2,40,1,39,B11,1,XP_r02_c40_B11,240.000,9.080
P,2,41,1,40,B11,1,XP_r02_c41_B11,246.000,9.080
P,2,42,1,41,B11,1,XP_r02_c42_B11,252.000,9.080
P,2,43,1,42,B11,1,XP_r02_c43_B11,258.000,9.080
P,2,44,1,43,B11,1,XP_r02_c44_B11,264.000,9.080
P,2,45,1,44,B11,1,XP_r02_c45_B11,270.000,9.080
P,2,46,1,45,B11,1,XP_r02_c46_B11,276.000,9.080
P,2,47,1,46,B11,1,XP_r02_c47_B11,282.000,9.080
P,2,48,1,47,B11,1,XP_r02_c48_B11,288.000,9.080
P,2,49,1,48,B11,1,XP_r02_c49_B11,294.000,9.080
P,2,50,1,49,B11,1,XP_r02_c50_B11,300.000,9.080
P,2,51,1,50,B11,1,XP_r02_c51_B11,306.000,9.080
P,2,52,1,51,B11,1,XP_r02_c52_B11,312.000,9.080
P,2,53,1,52,B11,1,XP_r02_c53_B11,318.000,9.080
P,2,54,1,53,B11,1,XP_r02_c54_B11,324.000,9.080
P,2,55,1,54,B11,1,XP_r02_c55_B11,330.000,9.080
P,2,56,1,55,B11,1,XP_r02_c56_B11,336.000,9.080
P,2,57,1,56,B11,1,XP_r02_c57_B11,342.000,9.080
P,2,58,1,57,B11,1,XP_r02_c58_B11,348.000,9.080
P,2,59,1,58,B11,1,XP_r02_c59_B11,354.000,9.080
P,2,60,1,59,B11,1,XP_r02_c60_B11,360.000,9.080
P,2,61,1,60,B11,1,XP_r02_c61_B11,366.000,9.080
P,2,62,1,61,B11,1,XP_r02_c62_B11,372.000,9.080
P,2,63,1,62,B11,1,XP_r02_c63_B11,378.000,9.080
P,2,64,1,63,B7,1,XP_r02_c64_B7,384.000,9.080
P,2,65,,,EDGE,0,XP_r02_c65_EDGE,390.000,9.080
P,3,0,,,EDGE,0,XP_r03_c00_EDGE,0.000,13.620
P,3,1,2,0,B11,1,XP_r03_c01_B11,6.000,13.620
P,3,2,2,1,B11,1,XP_r03_c02_B11,12.000,13.620
P,3,3,2,2,B11,1,XP_r03_c03_B11,18.000,13.620
P,3,4,2,3,B11,1,XP_r03_c04_B11,24.000,13.620
P,3,5,2,4,B11,1,XP_r03_c05_B11,30.000,13.620
P,3,6,2,5,B11,1,XP_r03_c06_B11,36.000,13.620
P,3,7,2,6,B11,1,XP_r03_c07_B11,42.000,13.620
P,3,8,2,7,B11,1,XP_r03_c08_B11,48.000,13.620
P,3,9,2,8,B11,1,XP_r03_c09_B11,54.000,13.620
P,3,10,2,9,B11,1,XP_r03_c10_B11,60.000,13.620
P,3,11,2,10,B11,1,XP_r03_c11_B11,66.000,13.620
P,3,12,2,11,B11,1,XP_r03_c12_B11,72.000,13.620
P,3,13,2,12,B11,1,XP_r03_c13_B11,78.000,13.620
P,3,14,2,13,B11,1,XP_r03_c14_B11,84.000,13.620
P,3,15,2,14,B11,1,XP_r03_c15_B11,90.000,13.620
P,3,16,2,15,B11,1,XP_r03_c16_B11,96.000,13.620
P,3,17,2,16,B11,1,XP_r03_c17_B11,102.000,13.620
P,3,18,2,17,B11,1,XP_r03_c18_B11,108.000,13.620
P,3,19,2,18,B11,1,XP_r03_c19_B11,114.000,13.620
P,3,20,2,19,B11,1,XP_r03_c20_B11,120.000,13.620
P,3,21,2,20,B11,1,XP_r03_c21_B11,126.000,13.620
P,3,22,2,21,B11,1,XP_r03_c22_B11,132.000,13.620
P,3,23,2,22,B11,1,XP_r03_c23_B11,138.000,13.620
P,3,24,2,23,B11,1,XP_r03_c24_B11,144.000,13.620
P,3,25,2,24,B11,1,XP_r03_c25_B11,150.000,13.620
P,3,26,2,25,B11,1,XP_r03_c26_B11,156.000,13.620
P,3,27,2,26,B11,1,XP_r03_c27_B11,162.000,13.620
P,3,28,2,27,B11,1,XP_r03_c28_B11,168.000,13.620
P,3,29,2,28,B11,1,XP_r03_c29_B11,174.000,13.620
P,3,30,2,29,B11,1,XP_r03_c30_B11,180.000,13.620
P,3,31,2,30,B11,1,XP_r03_c31_B11,186.000,13.620
P,3,32,2,31,B11,1,XP_r03_c32_B11,192.000,13.620
P,3,33,2,32,B11,1,XP_r03_c33_B11,198.000,13.620
P,3,34,2,33,B11,1,XP_r03_c34_B11,204.000,13.620
P,3,35,2,34,B11,1,XP_r03_c35_B11,210.000,13.620
P,3,36,2,35,B11,1,XP_r03_c36_B11,216.000,13.620
P,3,37,2,36,B11,1,XP_r03_c37_B11,222.000,13.620
P,3,38,2,37,B11,1,XP_r03_c38_B11,228.000,13.620
P,3,39,2,38,B11,1,XP_r03_c39_B11,234.000,13.620
P,3,40,2,39,B11,1,XP_r03_c40_B11,240.000,13.620
P,3,41,2,40,B11,1,XP_r03_c41_B11,246.000,13.620
P,3,42,2,41,B11,1,XP_r03_c42_B11,252.000,13.620
P,3,43,2,42,B11,1,XP_r03_c43_B11,258.000,13.620
P,3,44,2,43,B11,1,XP_r03_c44_B11,264.000,13.620
P,3,45,2,44,B11,1,XP_r03_c45_B11,270.000,13.620
P,3,46,2,45,B11,1,XP_r03_c46_B11,276.000,13.620
P,3,47,2,46,B11,1,XP_r03_c47_B11,282.000,13.620
P,3,48,2,47,B11,1,XP_r03_c48_B11,288.000,13.620
P,3,49,2,48,B11,1,XP_r03_c49_B11,294.000,13.620
P,3,50,2,49,B11,1,XP_r03_c50_B11,300.000,13.620
P,3,51,2,50,B11,1,XP_r03_c51_B11,306.000,13.620
P,3,52,2,51,B11,1,XP_r03_c52_B11,312.000,13.620
P,3,53,2,52,B11,1,XP_r03_c53_B11,318.000,13.620
P,3,54,2,53,B11,1,XP_r03_c54_B11,324.000,13.620
P,3,55,2,54,B11,1,XP_r03_c55_B11,330.000,13.620
P,3,56,2,55,B11,1,XP_r03_c56_B11,336.000,13.620
P,3,57,2,56,B11,1,XP_r03_c57_B11,342.000,13.620
P,3,58,2,57,B11,1,XP_r03_c58_B11,348.000,13.620
P,3,59,2,58,B11,1,XP_r03_c59_B11,354.000,13.620
