 frequency       gain_db         phase_deg      
 4.16869383e+02  4.14724848e+01  1.79997004e+02 
 4.26579519e+02  4.14724848e+01  1.79996934e+02 
 4.36515832e+02  4.14724848e+01  1.79996863e+02 
 4.46683592e+02  4.14724848e+01  1.79996789e+02 
 4.57088190e+02  4.14724848e+01  1.79996715e+02 
 4.67735141e+02  4.14724848e+01  1.79996638e+02 
 4.78630092e+02  4.14724848e+01  1.79996560e+02 
 4.89778819e+02  4.14724848e+01  1.79996480e+02 
 5.01187234e+02  4.14724848e+01  1.79996398e+02 
 5.12861384e+02  4.14724848e+01  1.79996314e+02 
 5.24807460e+02  4.14724848e+01  1.79996228e+02 
 5.37031796e+02  4.14724848e+01  1.79996140e+02 
 5.49540874e+02  4.14724848e+01  1.79996050e+02 
 5.62341325e+02  4.14724848e+01  1.79995958e+02 
 5.75439937e+02  4.14724848e+01  1.79995864e+02 
 5.88843655e+02  4.14724848e+01  1.79995768e+02 
 6.02559586e+02  4.14724848e+01  1.79995669e+02 
 6.16595002e+02  4.14724848e+01  1.79995568e+02 
 6.30957344e+02  4.14724848e+01  1.79995465e+02 
 6.45654229e+02  4.14724848e+01  1.79995359e+02 
 6.60693448e+02  4.14724848e+01  1.79995251e+02 
 6.76082975e+02  4.14724848e+01  1.79995141e+02 
 6.91830971e+02  4.14724848e+01  1.79995027e+02 
 7.07945784e+02  4.14724848e+01  1.79994912e+02 
 7.24435960e+02  4.14724848e+01  1.79994793e+02 
 7.41310241e+02  4.14724848e+01  1.79994672e+02 
 7.58577575e+02  4.14724847e+01  1.79994548e+02 
 7.76247117e+02  4.14724847e+01  1.79994421e+02 
 7.94328235e+02  4.14724847e+01  1.79994291e+02 
 8.12830516e+02  4.14724847e+01  1.79994158e+02 
 8.31763771e+02  4.14724847e+01  1.79994022e+02 
 8.51138038e+02  4.14724847e+01  1.79993882e+02 
 8.70963590e+02  4.14724847e+01  1.79993740e+02 
 8.91250938e+02  4.14724847e+01  1.79993594e+02 
 9.12010839e+02  4.14724847e+01  1.79993445e+02 
 9.33254301e+02  4.14724847e+01  1.79993292e+02 
 9.54992586e+02  4.14724847e+01  1.79993136e+02 
 9.77237221e+02  4.14724847e+01  1.79992976e+02 
 1.00000000e+03  4.14724847e+01  1.79992813e+02 
 1.02329299e+03  4.14724847e+01  1.79992645e+02 
 1.04712855e+03  4.14724847e+01  1.79992474e+02 
 1.07151931e+03  4.14724847e+01  1.79992299e+02 
 1.09647820e+03  4.14724847e+01  1.79992119e+02 
 1.12201845e+03  4.14724847e+01  1.79991936e+02 
 1.14815362e+03  4.14724847e+01  1.79991748e+02 
 1.17489755e+03  4.14724847e+01  1.79991555e+02 
 1.20226443e+03  4.14724847e+01  1.79991359e+02 
 1.23026877e+03  4.14724847e+01  1.79991157e+02 
 1.25892541e+03  4.14724847e+01  1.79990952e+02 
 1.28824955e+03  4.14724847e+01  1.79990741e+02 
 1.31825674e+03  4.14724847e+01  1.79990525e+02 
 1.34896288e+03  4.14724847e+01  1.79990304e+02 
 1.38038426e+03  4.14724847e+01  1.79990079e+02 
 1.41253754e+03  4.14724847e+01  1.79989847e+02 
 1.44543977e+03  4.14724847e+01  1.79989611e+02 
 1.47910839e+03  4.14724847e+01  1.79989369e+02 
 1.51356125e+03  4.14724846e+01  1.79989121e+02 
 1.54881662e+03  4.14724846e+01  1.79988868e+02 
 1.58489319e+03  4.14724846e+01  1.79988609e+02 
 1.62181010e+03  4.14724846e+01  1.79988343e+02 
 1.65958691e+03  4.14724846e+01  1.79988072e+02 
 1.69824365e+03  4.14724846e+01  1.79987794e+02 
 1.73780083e+03  4.14724846e+01  1.79987510e+02 
 1.77827941e+03  4.14724846e+01  1.79987219e+02 
 1.81970086e+03  4.14724846e+01  1.79986921e+02 
 1.86208714e+03  4.14724846e+01  1.79986616e+02 
 1.90546072e+03  4.14724846e+01  1.79986305e+02 
 1.94984460e+03  4.14724846e+01  1.79985986e+02 
 1.99526231e+03  4.14724845e+01  1.79985659e+02 
 2.04173794e+03  4.14724845e+01  1.79985325e+02 
 2.08929613e+03  4.14724845e+01  1.79984983e+02 
 2.13796209e+03  4.14724845e+01  1.79984633e+02 
 2.18776162e+03  4.14724845e+01  1.79984276e+02 
 2.23872114e+03  4.14724845e+01  1.79983909e+02 
 2.29086765e+03  4.14724845e+01  1.79983534e+02 
 2.34422882e+03  4.14724845e+01  1.79983151e+02 
 2.39883292e+03  4.14724844e+01  1.79982758e+02 
 2.45470892e+03  4.14724844e+01  1.79982357e+02 
 2.51188643e+03  4.14724844e+01  1.79981946e+02 
 2.57039578e+03  4.14724844e+01  1.79981525e+02 
 2.63026799e+03  4.14724844e+01  1.79981095e+02 
 2.69153480e+03  4.14724843e+01  1.79980655e+02 
 2.75422870e+03  4.14724843e+01  1.79980204e+02 
 2.81838293e+03  4.14724843e+01  1.79979743e+02 
 2.88403150e+03  4.14724843e+01  1.79979271e+02 
 2.95120923e+03  4.14724843e+01  1.79978788e+02 
 3.01995172e+03  4.14724842e+01  1.79978294e+02 
 3.09029543e+03  4.14724842e+01  1.79977789e+02 
 3.16227766e+03  4.14724842e+01  1.79977271e+02 
 3.23593657e+03  4.14724842e+01  1.79976742e+02 
 3.31131121e+03  4.14724841e+01  1.79976200e+02 
 3.38844156e+03  4.14724841e+01  1.79975646e+02 
 3.46736850e+03  4.14724841e+01  1.79975078e+02 
 3.54813389e+03  4.14724840e+01  1.79974498e+02 
 3.63078055e+03  4.14724840e+01  1.79973904e+02 
 3.71535229e+03  4.14724840e+01  1.79973296e+02 
