 frequency       mag             ph             
 1.25892541e+03  5.03080563e+01  9.03368443e+01 
 1.28824955e+03  5.01080628e+01  9.03295402e+01 
 1.31825674e+03  4.99080689e+01  9.03224108e+01 
 1.34896288e+03  4.97080747e+01  9.03154523e+01 
 1.38038426e+03  4.95080803e+01  9.03086611e+01 
 1.41253754e+03  4.93080857e+01  9.03020335e+01 
 1.44543977e+03  4.91080908e+01  9.02955660e+01 
 1.47910839e+03  4.89080956e+01  9.02892553e+01 
 1.51356125e+03  4.87081003e+01  9.02830979e+01 
 1.54881662e+03  4.85081047e+01  9.02770906e+01 
 1.58489319e+03  4.83081089e+01  9.02712302e+01 
 1.62181010e+03  4.81081130e+01  9.02655136e+01 
 1.65958691e+03  4.79081168e+01  9.02599378e+01 
 1.69824365e+03  4.77081205e+01  9.02544998e+01 
 1.73780083e+03  4.75081240e+01  9.02491967e+01 
 1.77827941e+03  4.73081274e+01  9.02440257e+01 
 1.81970086e+03  4.71081305e+01  9.02389842e+01 
 1.86208714e+03  4.69081336e+01  9.02340693e+01 
 1.90546072e+03  4.67081365e+01  9.02292785e+01 
 1.94984460e+03  4.65081393e+01  9.02246093e+01 
 1.99526231e+03  4.63081419e+01  9.02200592e+01 
 2.04173794e+03  4.61081444e+01  9.02156258e+01 
 2.08929613e+03  4.59081468e+01  9.02113067e+01 
 2.13796209e+03  4.57081491e+01  9.02070996e+01 
 2.18776162e+03  4.55081513e+01  9.02030023e+01 
 2.23872114e+03  4.53081534e+01  9.01990127e+01 
 2.29086765e+03  4.51081553e+01  9.01951285e+01 
 2.34422882e+03  4.49081572e+01  9.01913479e+01 
 2.39883292e+03  4.47081590e+01  9.01876686e+01 
 2.45470892e+03  4.45081607e+01  9.01840889e+01 
 2.51188643e+03  4.43081624e+01  9.01806068e+01 
 2.57039578e+03  4.41081639e+01  9.01772205e+01 
 2.63026799e+03  4.39081654e+01  9.01739281e+01 
 2.69153480e+03  4.37081668e+01  9.01707279e+01 
 2.75422870e+03  4.35081681e+01  9.01676182e+01 
 2.81838293e+03  4.33081693e+01  9.01645975e+01 
 2.88403150e+03  4.31081705e+01  9.01616639e+01 
 2.95120923e+03  4.29081717e+01  9.01588162e+01 
 3.01995172e+03  4.27081727e+01  9.01560526e+01 
 3.09029543e+03  4.25081737e+01  9.01533717e+01 
 3.16227766e+03  4.23081747e+01  9.01507722e+01 
 3.23593657e+03  4.21081756e+01  9.01482526e+01 
 3.31131121e+03  4.19081765e+01  9.01458116e+01 
 3.38844156e+03  4.17081773e+01  9.01434479e+01 
 3.46736850e+03  4.15081780e+01  9.01411603e+01 
 3.54813389e+03  4.13081787e+01  9.01389475e+01 
 3.63078055e+03  4.11081794e+01  9.01368084e+01 
 3.71535229e+03  4.09081800e+01  9.01347419e+01 
 3.80189396e+03  4.07081806e+01  9.01327467e+01 
 3.89045145e+03  4.05081811e+01  9.01308220e+01 
 3.98107171e+03  4.03081816e+01  9.01289666e+01 
 4.07380278e+03  4.01081821e+01  9.01271796e+01 
 4.16869383e+03  3.99081825e+01  9.01254600e+01 
 4.26579519e+03  3.97081829e+01  9.01238070e+01 
 4.36515832e+03  3.95081832e+01  9.01222196e+01 
 4.46683592e+03  3.93081835e+01  9.01206970e+01 
 4.57088190e+03  3.91081838e+01  9.01192384e+01 
 4.67735141e+03  3.89081841e+01  9.01178430e+01 
 4.78630092e+03  3.87081843e+01  9.01165101e+01 
 4.89778819e+03  3.85081844e+01  9.01152389e+01 
 5.01187234e+03  3.83081846e+01  9.01140289e+01 
 5.12861384e+03  3.81081847e+01  9.01128793e+01 
 5.24807460e+03  3.79081848e+01  9.01117896e+01 
 5.37031796e+03  3.77081848e+01  9.01107592e+01 
 5.49540874e+03  3.75081848e+01  9.01097875e+01 
 5.62341325e+03  3.73081848e+01  9.01088739e+01 
 5.75439937e+03  3.71081848e+01  9.01080182e+01 
 5.88843655e+03  3.69081847e+01  9.01072196e+01 
 6.02559586e+03  3.67081846e+01  9.01064780e+01 
 6.16595002e+03  3.65081844e+01  9.01057928e+01 
 6.30957344e+03  3.63081842e+01  9.01051637e+01 
 6.45654229e+03  3.61081840e+01  9.01045903e+01 
 6.60693448e+03  3.59081838e+01  9.01040724e+01 
 6.76082975e+03  3.57081835e+01  9.01036097e+01 
 6.91830971e+03  3.55081832e+01  9.01032019e+01 
 7.07945784e+03  3.53081828e+01  9.01028488e+01 
 7.24435960e+03  3.51081824e+01  9.01025503e+01 
 7.41310241e+03  3.49081820e+01  9.01023061e+01 
 7.58577575e+03  3.47081816e+01  9.01021162e+01 
 7.76247117e+03  3.45081811e+01  9.01019804e+01 
 7.94328235e+03  3.43081805e+01  9.01018987e+01 
 8.12830516e+03  3.41081799e+01  9.01018711e+01 
 8.31763771e+03  3.39081793e+01  9.01018974e+01 
 8.51138038e+03  3.37081786e+01  9.01019778e+01 
 8.70963590e+03  3.35081779e+01  9.01021122e+01 
 8.91250938e+03  3.33081772e+01  9.01023008e+01 
 9.12010839e+03  3.31081764e+01  9.01025436e+01 
 9.33254301e+03  3.29081755e+01  9.01028408e+01 
 9.54992586e+03  3.27081746e+01  9.01031925e+01 
 9.77237221e+03  3.25081736e+01  9.01035989e+01 
 1.00000000e+04  3.23081726e+01  9.01040603e+01 
 1.02329299e+04  3.21081715e+01  9.01045768e+01 
 1.04712855e+04  3.19081704e+01  9.01051488e+01 
 1.07151931e+04  3.17081692e+01  9.01057765e+01 
 1.09647820e+04  3.15081679e+01  9.01064603e+01 
 1.12201845e+04  3.13081666e+01  9.01072006e+01 
 1.14815362e+04  3.11081652e+01  9.01079977e+01 
 1.17489755e+04  3.09081637e+01  9.01088520e+01 
 1.20226443e+04  3.07081622e+01  9.01097641e+01 
 1.23026877e+04  3.05081606e+01  9.01107344e+01 
 1.25892541e+04  3.03081588e+01  9.01117633e+01 
 1.28824955e+04  3.01081570e+01  9.01128516e+01 
 1.31825674e+04  2.99081551e+01  9.01139997e+01 
 1.34896288e+04  2.97081532e+01  9.01152082e+01 
 1.38038426e+04  2.95081511e+01  9.01164778e+01 
 1.41253754e+04  2.93081489e+01  9.01178091e+01 
 1.44543977e+04  2.91081466e+01  9.01192030e+01 
 1.47910839e+04  2.89081442e+01  9.01206600e+01 
 1.51356125e+04  2.87081416e+01  9.01221810e+01 
 1.54881662e+04  2.85081390e+01  9.01237668e+01 
 1.58489319e+04  2.83081362e+01  9.01254182e+01 
 1.62181010e+04  2.81081333e+01  9.01271361e+01 
 1.65958691e+04  2.79081302e+01  9.01289214e+01 
 1.69824365e+04  2.77081270e+01  9.01307750e+01 
 1.73780083e+04  2.75081236e+01  9.01326980e+01 
 1.77827941e+04  2.73081201e+01  9.01346914e+01 
 1.81970086e+04  2.71081164e+01  9.01367561e+01 
 1.86208714e+04  2.69081126e+01  9.01388934e+01 
 1.90546072e+04  2.67081085e+01  9.01411043e+01 
 1.94984460e+04  2.65081043e+01  9.01433901e+01 
 1.99526231e+04  2.63080998e+01  9.01457518e+01 
