 time                   v(VOUT)               
 1.461400000000002e-07  8.000064964280594e-01 
 1.466400000000003e-07  8.000064964280595e-01 
 1.471400000000003e-07  8.000064964280598e-01 
 1.476400000000003e-07  8.000064964280600e-01 
 1.481400000000003e-07  8.000064964280601e-01 
 1.486400000000003e-07  8.000064964280599e-01 
 1.491400000000003e-07  8.000064964280598e-01 
 1.496400000000003e-07  8.000064964280599e-01 
 1.501400000000003e-07  8.000064964280600e-01 
 1.506400000000003e-07  8.000064964280599e-01 
 1.511400000000004e-07  8.000064964280597e-01 
 1.516400000000004e-07  8.000064964280594e-01 
 1.521400000000004e-07  8.000064964280592e-01 
 1.526400000000004e-07  8.000064964280593e-01 
 1.531400000000004e-07  8.000064964280594e-01 
 1.536400000000004e-07  8.000064964280593e-01 
 1.541400000000004e-07  8.000064964280592e-01 
 1.546400000000004e-07  8.000064964280592e-01 
 1.551400000000004e-07  8.000064964280592e-01 
 1.556400000000005e-07  8.000064964280594e-01 
 1.561400000000005e-07  8.000064964280597e-01 
 1.566400000000005e-07  8.000064964280599e-01 
 1.571400000000005e-07  8.000064964280599e-01 
 1.576400000000005e-07  8.000064964280597e-01 
 1.581400000000005e-07  8.000064964280593e-01 
 1.586400000000005e-07  8.000064964280588e-01 
 1.591400000000005e-07  8.000064964280585e-01 
 1.596400000000005e-07  8.000064964280587e-01 
 1.601400000000006e-07  8.000064964280590e-01 
 1.606400000000006e-07  8.000064964280592e-01 
 1.611400000000006e-07  8.000064964280594e-01 
 1.616400000000006e-07  8.000064964280594e-01 
 1.621400000000006e-07  8.000064964280592e-01 
 1.626400000000006e-07  8.000064964280591e-01 
 1.631400000000006e-07  8.000064964280591e-01 
 1.636400000000006e-07  8.000064964280591e-01 
 1.641400000000006e-07  8.000064964280592e-01 
 1.646400000000007e-07  8.000064964280593e-01 
 1.651400000000007e-07  8.000064964280593e-01 
 1.656400000000007e-07  8.000064964280593e-01 
 1.661400000000007e-07  8.000064964280594e-01 
 1.666400000000007e-07  8.000064964280597e-01 
 1.671400000000007e-07  8.000064964280600e-01 
 1.676400000000007e-07  8.000064964280602e-01 
 1.681400000000007e-07  8.000064964280600e-01 
 1.686400000000007e-07  8.000064964280597e-01 
 1.691400000000008e-07  8.000064964280595e-01 
 1.696400000000008e-07  8.000064964280594e-01 
 1.701400000000008e-07  8.000064964280594e-01 
 1.706400000000008e-07  8.000064964280595e-01 
 1.711400000000008e-07  8.000064964280598e-01 
 1.716400000000008e-07  8.000064964280600e-01 
 1.721400000000008e-07  8.000064964280602e-01 
 1.726400000000008e-07  8.000064964280601e-01 
 1.731400000000008e-07  8.000064964280598e-01 
 1.736400000000009e-07  8.000064964280594e-01 
 1.741400000000009e-07  8.000064964280590e-01 
 1.746400000000009e-07  8.000064964280588e-01 
 1.751400000000009e-07  8.000064964280585e-01 
 1.756400000000009e-07  8.000064964280583e-01 
 1.761400000000009e-07  8.000064964280581e-01 
 1.766400000000009e-07  8.000064964280581e-01 
 1.771400000000009e-07  8.000064964280583e-01 
 1.776400000000009e-07  8.000064964280585e-01 
 1.781400000000010e-07  8.000064964280589e-01 
 1.786400000000010e-07  8.000064964280591e-01 
 1.791400000000010e-07  8.000064964280593e-01 
 1.796400000000010e-07  8.000064964280594e-01 
 1.801400000000010e-07  8.000064964280592e-01 
 1.806400000000010e-07  8.000064964280589e-01 
 1.811400000000010e-07  8.000064964280588e-01 
 1.816400000000010e-07  8.000064964280589e-01 
 1.821400000000010e-07  8.000064964280591e-01 
 1.826400000000011e-07  8.000064964280590e-01 
 1.831400000000011e-07  8.000064964280588e-01 
 1.836400000000011e-07  8.000064964280589e-01 
 1.841400000000011e-07  8.000064964280590e-01 
