code,p_top_delta_v,n_top_equivalent_delta_v,n_top_complement_delta_v,differential_output_v,p_inl_lsb,n_inl_lsb,differential_inl_lsb,p_dnl_to_next_lsb,n_dnl_to_next_lsb,differential_dnl_to_next_lsb
1566,0.135178100915069,0.135179037366568,0.218007329934961,-0.0828292290198918,1.32732291126606,1.3259481827704,1.32663554433592,0.3198090564083,0.325792937946356,0.322801008852825
1567,0.135291931178351,0.135293384617251,0.217892982684278,-0.0826010515059268,1.64713196767428,1.65174112071677,1.64943655318887,-2.28262377839106,-2.28770856193812,-2.28516618008581
1568,0.135181308053227,0.135182322075338,0.218004045226191,-0.0828227371729631,-0.635491810716855,-0.63596744122134,-0.635729626897128,0.319809056408944,0.325792937946034,0.322801008852986
1569,0.135295138316509,0.135296669326021,0.217889697975508,-0.0825945596589981,-0.315682754307666,-0.310174503275294,-0.312928618044013,0.327576416466919,0.321023873068254,0.32430013198254
1570,0.135409638495364,0.135410605253457,0.217775762048072,-0.0823661235527079,0.0118936621591764,0.0108493697929728,0.0113715139383345,0.319809056408944,0.325792937946034,0.322801008852986
1571,0.135523468758646,0.13552495250414,0.217661414797389,-0.0821379460387429,0.331702718568043,0.336642307739019,0.334172522791449,-0.318429061173755,-0.324176942343474,-0.321303012973638
1572,0.135582252564557,0.13558324102445,0.217603126277078,-0.082020873712521,0.0132736573942111,0.0124653653955578,0.0128695098179401,0.319809056408944,0.325792937946356,0.322801008853147
1573,0.135696082827839,0.135697588275134,0.217488779026395,-0.081792696198556,0.3330827138034,0.338258303341926,0.335670518670894,0.327576416466919,0.321023873067932,0.324300131982379
1574,0.135810583006694,0.135811524202569,0.21737484309896,-0.0815642600922657,0.660659130270242,0.659282176409871,0.659970650653402,0.319809056408944,0.325792937946356,0.322801008853147
1575,0.135924413269976,0.135925871453252,0.217260495848277,-0.0813360825783007,0.980468186679109,0.985075114356239,0.982771659506356,-0.960539974827481,-0.965625159572569,-0.963082577122023
1576,0.135927816599445,0.135928836221266,0.217257531080263,-0.0813297144808183,0.0199282118515516,0.0194499547836833,0.0196890823844625,0.319809056408622,0.325792937946356,0.322801008852986
1577,0.136041646862727,0.136043183471949,0.21714318382958,-0.0811015369668533,0.339737268260419,0.345242892730052,0.342490091237577,0.327576416467241,0.321023873067932,0.32430013198254
