 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 7.76247117e+01  2.86466172e-03  1.18399517e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 7.94328235e+01  2.83680067e-03  1.17248255e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.12830516e+01  2.80921137e-03  1.16108232e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.31763771e+01  2.78189113e-03  1.14979337e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.51138038e+01  2.75483733e-03  1.13861462e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.70963590e+01  2.72804732e-03  1.12754498e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 8.91250938e+01  2.70151852e-03  1.11658339e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.12010839e+01  2.67524835e-03  1.10572878e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.33254301e+01  2.64923427e-03  1.09498011e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.54992586e+01  2.62347376e-03  1.08433633e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 9.77237221e+01  2.59796432e-03  1.07379642e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.00000000e+02  2.57270348e-03  1.06335936e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.02329299e+02  2.54768878e-03  1.05302415e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.04712855e+02  2.52291782e-03  1.04278978e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.07151931e+02  2.49838817e-03  1.03265526e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.09647820e+02  2.47409748e-03  1.02261963e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.12201845e+02  2.45004337e-03  1.01268190e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.14815362e+02  2.42622352e-03  1.00284113e-06	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.17489755e+02  2.40263561e-03  9.93096352e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.20226443e+02  2.37927737e-03  9.83446636e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.23026877e+02  2.35614652e-03  9.73891048e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.25892541e+02  2.33324082e-03  9.64428668e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.28824955e+02  2.31055804e-03  9.55058581e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.31825674e+02  2.28809599e-03  9.45779884e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.34896288e+02  2.26585249e-03  9.36591681e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.38038426e+02  2.24382537e-03  9.27493088e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.41253754e+02  2.22201250e-03  9.18483225e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.44543977e+02  2.20041175e-03  9.09561225e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.47910839e+02  2.17902103e-03  9.00726227e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.51356125e+02  2.15783827e-03  8.91977379e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.54881662e+02  2.13686139e-03  8.83313839e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.58489319e+02  2.11608837e-03  8.74734770e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 1.62181010e+02  2.09551718e-03  8.66239347e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
