tag,vcm_v,device,role,drain_current_ua,vdsat_abs_v,saturation_margin_v,saturation_status,manifest_sha256
first_stage_l3,0.8,M4,"PMOS mirror output load, two units",18.607066,0.0831731575,0.9220463235000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M5,NMOS tail current source,37.234173999999996,0.0985644911,0.06874383790000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M6,NMOS second-stage gain device,84.6284287,0.160056052,0.6402538149999999,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M7,PMOS second-stage current source,92.63152720000001,0.164472174,0.8352179590000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.8,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M1,"NMOS input, VINN side",19.2228219,0.078310135,0.411195577,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M2,"NMOS input, VINP side",19.2025346,0.078145666,0.46601188599999993,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M3,"PMOS diode mirror load, two units",19.222794800000003,0.0840606337,0.9785264093000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M4,"PMOS mirror output load, two units",19.2025238,0.0840606192,0.9238745838000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M5,NMOS tail current source,38.4253557,0.0985645462,0.1493426988,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M6,NMOS second-stage gain device,83.2621789,0.158427166,0.741895931,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M7,PMOS second-stage current source,92.2654099,0.164441176,0.7352357270000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,0.9,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M1,"NMOS input, VINN side",20.2447142,0.0829051995,0.07350604850000006,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M2,"NMOS input, VINP side",20.2264847,0.0824541335,0.1210387465000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M3,"PMOS diode mirror load, two units",20.244684999999997,0.0855551123,0.9802831637,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M4,"PMOS mirror output load, two units",20.2264714,0.0855550995,0.9332015445,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M5,NMOS tail current source,40.4711972,0.0985647717,0.47918570429999996,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M6,NMOS second-stage gain device,77.3462711,0.151920913,1.1489087370000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M7,PMOS second-stage current source,90.3547664,0.164317066,0.334853284,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M8,PMOS diode IREF reference,9.99999882,0.169702732,0.997543332,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M9,PMOS VBN-bias current source,9.99144222,0.169694826,0.9723179730000002,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
first_stage_l3,1.3,M10,NMOS diode VBN reference,9.9914427,0.0923723431,0.5656148579,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M1,"NMOS input, VINN side",18.0100092,0.0726785902,0.5895442538,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M2,"NMOS input, VINP side",18.175880600000003,0.0732027076,0.4989798944,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M3,"PMOS diode mirror load, two units",18.010007899999998,0.0856702342,0.9187953168,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M4,"PMOS mirror output load, two units",18.1758788,0.0858067887,1.0086990043000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M5,NMOS tail current source,36.1858894,0.0985644678,0.0347471372,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M6,NMOS second-stage gain device,27.8740613,0.104166984,0.694488263,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
m7_l2,0.8,M7,PMOS second-stage current source,35.860586999999995,0.144717089,0.8566276640000001,PASS,89f886ce2a150b84945a5378f29c2d4ee3faa5ef832876aeb122deb05e01391e
