 frequency       lr              li             
 1.44543977e+02 -2.50572984e+04 -1.03541259e+04 
 1.47910839e+02 -2.48861902e+04 -1.05229208e+04 
 1.51356125e+02 -2.47095057e+04 -1.06915475e+04 
 1.54881662e+02 -2.45271648e+04 -1.08598149e+04 
 1.58489319e+02 -2.43390937e+04 -1.10275228e+04 
 1.62181010e+02 -2.41452273e+04 -1.11944635e+04 
 1.65958691e+02 -2.39455085e+04 -1.13604202e+04 
 1.69824365e+02 -2.37398897e+04 -1.15251689e+04 
 1.73780083e+02 -2.35283330e+04 -1.16884775e+04 
 1.77827941e+02 -2.33108118e+04 -1.18501074e+04 
 1.81970086e+02 -2.30873106e+04 -1.20098132e+04 
 1.86208714e+02 -2.28578261e+04 -1.21673429e+04 
 1.90546072e+02 -2.26223679e+04 -1.23224397e+04 
 1.94984460e+02 -2.23809590e+04 -1.24748419e+04 
 1.99526231e+02 -2.21336369e+04 -1.26242840e+04 
 2.04173794e+02 -2.18804531e+04 -1.27704965e+04 
 2.08929613e+02 -2.16214748e+04 -1.29132086e+04 
 2.13796209e+02 -2.13567848e+04 -1.30521476e+04 
 2.18776162e+02 -2.10864819e+04 -1.31870413e+04 
 2.23872114e+02 -2.08106813e+04 -1.33176172e+04 
 2.29086765e+02 -2.05295147e+04 -1.34436057e+04 
 2.34422882e+02 -2.02431308e+04 -1.35647396e+04 
 2.39883292e+02 -1.99516949e+04 -1.36807569e+04 
 2.45470892e+02 -1.96553893e+04 -1.37914003e+04 
 2.51188643e+02 -1.93544127e+04 -1.38964198e+04 
 2.57039578e+02 -1.90489804e+04 -1.39955734e+04 
 2.63026799e+02 -1.87393235e+04 -1.40886285e+04 
 2.69153480e+02 -1.84256886e+04 -1.41753630e+04 
 2.75422870e+02 -1.81083374e+04 -1.42555667e+04 
 2.81838293e+02 -1.77875457e+04 -1.43290425e+04 
 2.88403150e+02 -1.74636027e+04 -1.43956075e+04 
 2.95120923e+02 -1.71368100e+04 -1.44550937e+04 
 3.01995172e+02 -1.68074807e+04 -1.45073495e+04 
 3.09029543e+02 -1.64759380e+04 -1.45522407e+04 
 3.16227766e+02 -1.61425145e+04 -1.45896512e+04 
 3.23593657e+02 -1.58075503e+04 -1.46194829e+04 
 3.31131121e+02 -1.54713920e+04 -1.46416577e+04 
 3.38844156e+02 -1.51343914e+04 -1.46561174e+04 
 3.46736850e+02 -1.47969036e+04 -1.46628235e+04 
 3.54813389e+02 -1.44592860e+04 -1.46617582e+04 
 3.63078055e+02 -1.41218962e+04 -1.46529246e+04 
