frequency_hz,ad_magnitude_V_per_V,acm_magnitude_V_per_V,aps_plus_magnitude_V_per_V,aps_minus_magnitude_V_per_V,cmrr_dB,psrr_plus_dB,psrr_minus_dB,common_mode_stimulus_magnitude_V,psrr_plus_stimulus_magnitude_V,psrr_minus_stimulus_magnitude_V,manifest_sha256
4.05819894,2419.900955,0.6571811808,36.91719774,37.26001643,71.32224945,36.33137726,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.1368204,2419.900938,0.6571811782,36.91719763,37.26001631,71.32224942,36.33137723,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.21696503,2419.900931,0.6571811747,36.91719743,37.2600161,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.29866235,2419.900914,0.6571811713,36.91719723,37.26001589,71.32224943,36.33137724,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.38194242,2419.900898,0.6571811671,36.91719695,37.2600157,71.32224943,36.33137725,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.46683592,2419.900883,0.657181163,36.91719677,37.26001541,71.32224943,36.33137723,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.5533741,2419.900868,0.657181159,36.9171965,37.26001523,71.32224943,36.33137724,36.25109094,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.64158883,2419.900853,0.6571811543,36.91719633,37.26001496,71.32224944,36.33137723,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.73151259,2419.90084,0.6571811507,36.91719608,37.26001469,71.32224944,36.33137724,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.82317848,2419.900826,0.6571811462,36.91719574,37.26001444,71.32224945,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
4.91662026,2419.900804,0.657181141,36.91719551,37.26001419,71.32224944,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.01187234,2419.900782,0.6571811359,36.91719529,37.26001386,71.32224942,36.33137722,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.10896977,2419.900771,0.657181131,36.91719497,37.26001364,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.20794833,2419.900751,0.6571811253,36.91719467,37.26001332,71.32224945,36.33137725,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.30884444,2419.900731,0.6571811199,36.91719429,37.26001302,71.32224945,36.33137727,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.41169527,2419.900703,0.6571811146,36.91719401,37.26001263,71.32224942,36.33137723,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.51653867,2419.900685,0.6571811086,36.91719365,37.26001235,71.32224944,36.33137726,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.62341325,2419.900658,0.6571811018,36.9171933,37.26001199,71.32224943,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.73235837,2419.900642,0.6571810952,36.91719296,37.26001164,71.32224946,36.33137726,36.25109097,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.84341413,2419.900616,0.6571810889,36.91719254,37.2600112,71.32224945,36.33137727,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
5.95662144,2419.900582,0.6571810819,36.91719223,37.26001087,71.32224942,36.33137722,36.25109093,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.07202196,2419.900559,0.6571810741,36.91719174,37.26001046,71.32224944,36.33137725,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.18965819,2419.900537,0.6571810666,36.91719136,37.26000997,71.32224946,36.33137726,36.25109098,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.30957344,2419.900506,0.6571810594,36.91719091,37.26000959,71.32224944,36.33137726,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.43181188,2419.900476,0.6571810506,36.91719046,37.26000913,71.32224945,36.33137725,36.25109096,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.55641849,2419.900437,0.657181043,36.91718994,37.26000858,71.32224941,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
6.68343918,2419.900409,0.6571810338,36.91718953,37.26000815,71.32224944,36.33137724,36.25109095,1,1,1,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
