scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.5,0.3,1.5,0.30061349,0.900306745,0.812173136,9.11997265e-05,0.170560125,9.41458425e-05,0.164627077,COMMAND_ASCENDING,-5.551115123e-17,0.61349,0.130053365,1.334759433,True,True,VALID,0.30061349,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.49,0.31,1.49,0.310596134,0.900298067,0.811603663,9.10723282e-05,0.170212193,9.41192764e-05,0.164623982,COMMAND_ASCENDING,-5.551115123e-17,0.596134,0.140383941,1.324779884,True,True,VALID,0.310596136,0.001999999999,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.48,0.32,1.48,0.320579615,0.900289808,0.811062415,9.09448027e-05,0.169881828,9.40925911e-05,0.164620887,COMMAND_ASCENDING,-5.551115123e-17,0.579615,0.150697787,1.314799498,True,True,VALID,0.320579615,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.47,0.33,1.47,0.330563877,0.900281939,0.810545644,9.08171502e-05,0.1695667,9.40657851e-05,0.164617791,COMMAND_ASCENDING,-5.551115123e-17,0.563877,0.160997177,1.304818332,True,True,VALID,0.330563877,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.46,0.34,1.46,0.34054877,0.900274385,0.810050268,9.06893697e-05,0.169264891,9.40388571e-05,0.164614696,COMMAND_ASCENDING,-5.551115123e-17,0.54877,0.171283879,1.294836534,True,True,VALID,0.34054877,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.45,0.35,1.45,0.350534234,0.900267117,0.809573724,9.05614605e-05,0.168974806,9.40118058e-05,0.1646116,COMMAND_ASCENDING,-1.110223025e-16,0.534234,0.181559428,1.284854166,True,True,VALID,0.350534234,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.44,0.36,1.44,0.360520204,0.900260102,0.809113863,9.04334219e-05,0.168695109,9.39846295e-05,0.164608504,COMMAND_ASCENDING,-1.110223025e-16,0.520204,0.191825095,1.274871292,True,True,VALID,0.360520204,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.43,0.37,1.43,0.370506625,0.900253313,0.808668869,9.03052527e-05,0.168424667,9.39573267e-05,0.164605408,COMMAND_ASCENDING,-1.110223025e-16,0.506625,0.202081958,1.264887967,True,True,VALID,0.370506625,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.42,0.38,1.42,0.38049345,0.900246725,0.808237194,9.01769517e-05,0.168162518,9.39298958e-05,0.164602311,COMMAND_ASCENDING,-1.110223025e-16,0.49345,0.212330932,1.254904239,True,True,VALID,0.38049345,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.41,0.39,1.41,0.390480639,0.90024032,0.807817509,9.00485175e-05,0.167907833,9.3902335e-05,0.164599215,COMMAND_ASCENDING,-1.110223025e-16,0.480639,0.222572806,1.244920146,True,True,VALID,0.390480639,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
