frequency_hz,dm_tian_real,dm_tian_imag,dm_old_real,dm_old_imag,input_cm_tian_real,input_cm_tian_imag,input_cm_old_real,input_cm_old_imag,stage1_cm_tian_real,stage1_cm_tian_imag,stage1_cm_old_real,stage1_cm_old_imag,output_cm_tian_real,output_cm_tian_imag,output_cm_old_real,output_cm_old_imag
2.464147308281285031e+00,3.703353285525145111e+02,-1.189054664028559583e-01,3.703353285942694697e+02,-1.188273450308140883e-01,-3.424359930625005960e-03,1.910492108430259534e-09,-3.424359930624839427e-03,2.049707202983390459e-08,-9.368813079059838174e+02,-4.245651553779048459e-01,-9.368813209725248043e+02,-4.101265159473072575e-01,7.474294857361300615e+01,-5.871051334730226570e-03,7.474294857416631999e+01,-5.865630902781922285e-03
2.511886431509584128e+00,3.703353270628957148e+02,-1.212090792980285853e-01,3.703353271061940859e+02,-1.211294444433716339e-01,-3.424359930623903110e-03,1.947505000428242660e-09,-3.424359930624385363e-03,2.089417176659096603e-08,-9.368813001985157598e+02,-4.327904588019823029e-01,-9.368813137758545508e+02,-4.180720929486059778e-01,7.474294855526777326e+01,-5.984794063715830233e-03,7.474294855584244601e+01,-5.979268619107484285e-03
2.560550427970480047e+00,3.703353255149402230e+02,-1.235573211763831836e-01,3.703353255599885756e+02,-1.234761435178153149e-01,-3.424359930624564907e-03,1.985234961169460452e-09,-3.424359930624438705e-03,2.129896470951498712e-08,-9.368812923833479545e+02,-4.411751149929583615e-01,-9.368813064919737599e+02,-4.261716034561797151e-01,7.474294853585784892e+01,-6.100740385716850282e-03,7.474294853645520220e+01,-6.095107893987465435e-03
2.610157215682541221e+00,3.703353239054801520e+02,-1.259510566545952448e-01,3.703353239522433000e+02,-1.258683063026052595e-01,-3.424359930624345030e-03,2.023695882774065370e-09,-3.424359930624024540e-03,2.171159990282629680e-08,-9.368812842632158890e+02,-4.497222109856002237e-01,-9.368812989238034561e+02,-4.344280295213572285e-01,7.474294851607700707e+01,-6.218932992124384315e-03,7.474294851669837669e+01,-6.213191379398181127e-03
2.660725059798814129e+00,3.703353222340754201e+02,-1.283911671017656797e-01,3.703353222827660716e+02,-1.283068135879479876e-01,-3.424359930623462490e-03,2.062901926502288799e-09,-3.424359930623589558e-03,2.213222927825291999e-08,-9.368812758243850567e+02,-4.584348937905260990e-01,-9.368812910589944067e+02,-4.428444111327875521e-01,7.474294849553898246e+01,-6.339415401233901293e-03,7.474294849618576109e+01,-6.333562553457009435e-03
2.712272579332033029e+00,3.703353204974682171e+02,-1.308785509602614083e-01,3.703353205480115093e+02,-1.307925632257331827e-01,-3.424359930625227137e-03,2.102867527969210547e-09,-3.424359930625061471e-03,2.256100771097155834e-08,-9.368812670555698787e+02,-4.673163713889692539e-01,-9.368812828863148070e+02,-4.514238471750455228e-01,7.474294847384683749e+01,-6.462231974436839950e-03,7.474294847452046042e+01,-6.456265736598900025e-03
2.764818754010113011e+00,3.703353186918450888e+02,-1.334141240779346538e-01,3.703353187443532875e+02,-1.333264704622263708e-01,-3.424359930624345464e-03,2.143607402452591966e-09,-3.424359930624626489e-03,2.299809307662588107e-08,-9.368812579449968325e+02,-4.763699139111214897e-01,-9.368812743948583375e+02,-4.601694965688837291e-01,7.474294845170118151e+01,-6.587427932748872797e-03,7.474294845239680285e+01,-6.581346108088173032e-03
2.818382931264459046e+00,3.703353168156809261e+02,-1.359988200473634390e-01,3.703353168702160474e+02,-1.359094682765970286e-01,-3.424359930624786517e-03,2.185136550321077497e-09,-3.424359930624201482e-03,2.344364630946537094e-08,-9.368812484766908710e+02,-4.855988548364452151e-01,-9.368812655705200996e+02,-4.690845794309950745e-01,7.474294842833653263e+01,-6.715049373018309661e-03,7.474294842906206782e+01,-6.708849722216617475e-03
2.872984833353669831e+00,3.703353148671778285e+02,-1.386335905478610908e-01,3.703353149238899960e+02,-1.385425077229672786e-01,-3.424359930623683667e-03,2.227470262552127105e-09,-3.424359930623807266e-03,2.389783146159661561e-08,-9.368812386390133042e+02,-4.950065922295761589e-01,-9.368812564014277768e+02,-4.781723782648071852e-01,7.474294840445230648e+01,-6.845143285410513513e-03,7.474294840520425964e+01,-6.838823525764030353e-03
2.928644564625241919e+00,3.703353128425625869e+02,-1.413194056945900612e-01,3.703353129015058585e+02,-1.412265582790600826e-01,-3.424359930623683667e-03,2.270624126361555247e-09,-3.424359930623381825e-03,2.436081576338599475e-08,-9.368812284151117638e+02,-5.045965899816650113e-01,-9.368812468728683598e+02,-4.874362391640627568e-01,7.474294837927983792e+01,-6.977757570188024630e-03,7.474294838006497343e+01,-6.971315374771038485e-03
2.985382618917966191e+00,3.703353107376125877e+02,-1.440572543967841013e-01,3.703353107989217392e+02,-1.439626082044543898e-01,-3.424359930623683667e-03,2.314614030945529164e-09,-3.424359930623442540e-03,2.483276968503689411e-08,-9.368812177932047689e+02,-5.143723790965083476e-01,-9.368812369723186748e+02,-4.968795730498746788e-01,7.474294835315544105e+01,-7.112941055810210848e-03,7.474294835396919723e+01,-7.106374052614210235e-03
3.043219887107727839e+00,3.703353085505452782e+02,-1.468481447240917170e-01,3.703353086141675021e+02,-1.467516649063466683e-01,-3.424359930623684101e-03,2.359456173326492086e-09,-3.424359930622983706e-03,2.531386699935164741e-08,-9.368812067539199688e+02,-5.243375589770414846e-01,-9.368812266837866218e+02,-5.065058569207475658e-01,7.474294832603762018e+01,-7.250743516644853233e-03,7.474294832688303813e+01,-7.244049287708608474e-03
3.102177664799508072e+00,3.703353062779258948e+02,-1.496931042746566798e-01,3.703353063440962387e+02,-1.495947553079715053e-01,-3.424359930622581684e-03,2.405167064322241638e-09,-3.424359930622634593e-03,2.580428484572062705e-08,-9.368811952831059671e+02,-5.344957987644861630e-01,-9.368812159928505707e+02,-5.163186351380436578e-01,7.474294829788597383e+01,-7.391215691362486816e-03,7.474294829876367885e+01,-7.384391771880007525e-03
3.162277660168387072e+00,3.703353039165306200e+02,-1.525931805548811637e-01,3.703353039852585766e+02,-1.524929262273370112e-01,-3.424359930622582118e-03,2.451763534622056163e-09,-3.424359930622219994e-03,2.630420379534035655e-08,-9.368811833642238298e+02,-5.448508386809896020e-01,-9.368812048837130533e+02,-5.263215207278183483e-01,7.474294826866051267e+01,-7.534409301618592673e-03,7.474294826957368798e+01,-7.527453179032533512e-03
