 frequency       tloop           tloop           v(VINN)         v(VINN)         v(VOUT)         v(VOUT)	manifest_sha256
 3.34965439e+00  2.35598734e+03 -9.90443201e-01  1.00000000e+00  0.00000000e+00 -2.35598734e+03  9.90443201e-01	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.41454887e+00  2.35598732e+03 -1.00982794e+00  1.00000000e+00  0.00000000e+00 -2.35598732e+03  1.00982794e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.48070059e+00  2.35598730e+03 -1.02958450e+00  1.00000000e+00  0.00000000e+00 -2.35598730e+03  1.02958450e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+00  2.35598729e+03 -1.04972015e+00  1.00000000e+00  0.00000000e+00 -2.35598729e+03  1.04972015e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.61687361e+00  2.35598727e+03 -1.07024230e+00  1.00000000e+00  0.00000000e+00 -2.35598727e+03  1.07024230e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.68694506e+00  2.35598725e+03 -1.09115852e+00  1.00000000e+00  2.22044605e-16 -2.35598725e+03  1.09115852e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.75837404e+00  2.35598723e+03 -1.11247650e+00  1.00000000e+00  0.00000000e+00 -2.35598723e+03  1.11247650e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.83118685e+00  2.35598721e+03 -1.13420409e+00  1.00000000e+00  0.00000000e+00 -2.35598721e+03  1.13420409e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.90541029e+00  2.35598719e+03 -1.15634929e+00  1.00000000e+00  0.00000000e+00 -2.35598719e+03  1.15634929e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.35598716e+03 -1.17892025e+00  1.00000000e+00 -2.22044605e-16 -2.35598716e+03  1.17892025e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.05819894e+00  2.35598714e+03 -1.20192530e+00  1.00000000e+00  0.00000000e+00 -2.35598714e+03  1.20192530e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.13682040e+00  2.35598712e+03 -1.22537289e+00  1.00000000e+00  0.00000000e+00 -2.35598712e+03  1.22537289e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.21696503e+00  2.35598709e+03 -1.24927165e+00  1.00000000e+00 -2.22044605e-16 -2.35598709e+03  1.24927165e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.29866235e+00  2.35598707e+03 -1.27363040e+00  1.00000000e+00  0.00000000e+00 -2.35598707e+03  1.27363040e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.38194242e+00  2.35598704e+03 -1.29845810e+00  1.00000000e+00  0.00000000e+00 -2.35598704e+03  1.29845810e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+00  2.35598701e+03 -1.32376388e+00  1.00000000e+00  0.00000000e+00 -2.35598701e+03  1.32376388e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.55337410e+00  2.35598698e+03 -1.34955707e+00  1.00000000e+00  0.00000000e+00 -2.35598698e+03  1.34955707e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.64158883e+00  2.35598695e+03 -1.37584717e+00  1.00000000e+00  0.00000000e+00 -2.35598695e+03  1.37584717e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.73151259e+00  2.35598692e+03 -1.40264385e+00  1.00000000e+00  0.00000000e+00 -2.35598692e+03  1.40264385e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.82317848e+00  2.35598689e+03 -1.42995698e+00  1.00000000e+00 -2.22044605e-16 -2.35598689e+03  1.42995698e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.91662026e+00  2.35598685e+03 -1.45779661e+00  1.00000000e+00  0.00000000e+00 -2.35598685e+03  1.45779661e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.35598682e+03 -1.48617301e+00  1.00000000e+00  2.22044605e-16 -2.35598682e+03  1.48617301e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.10896977e+00  2.35598678e+03 -1.51509661e+00  1.00000000e+00 -2.22044605e-16 -2.35598678e+03  1.51509661e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.20794833e+00  2.35598674e+03 -1.54457806e+00  1.00000000e+00  0.00000000e+00 -2.35598674e+03  1.54457806e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.30884444e+00  2.35598670e+03 -1.57462822e+00  1.00000000e+00  0.00000000e+00 -2.35598670e+03  1.57462822e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.41169527e+00  2.35598666e+03 -1.60525816e+00  1.00000000e+00  0.00000000e+00 -2.35598666e+03  1.60525816e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.51653867e+00  2.35598662e+03 -1.63647915e+00  1.00000000e+00  0.00000000e+00 -2.35598662e+03  1.63647915e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
