 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 3.34965439e+00  2.51948976e+03 -1.12949757e+00  1.00000000e+00 -2.54991960e-21  2.51948976e+03 -1.12949757e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.41454887e+00  2.51948974e+03 -1.15158927e+00  1.00000000e+00 -2.50191278e-21  2.51948974e+03 -1.15158927e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.48070059e+00  2.51948972e+03 -1.17410498e+00  1.00000000e+00 -2.45479290e-21  2.51948972e+03 -1.17410498e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+00  2.51948970e+03 -1.19705300e+00  1.00000000e+00 -2.40854452e-21  2.51948970e+03 -1.19705300e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.61687361e+00  2.51948967e+03 -1.22044177e+00  1.00000000e+00 -2.36315243e-21  2.51948967e+03 -1.22044177e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.68694506e+00  2.51948965e+03 -1.24427990e+00  1.00000000e+00 -2.31860162e-21  2.51948965e+03 -1.24427990e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.75837404e+00  2.51948963e+03 -1.26857618e+00  1.00000000e+00 -2.27487730e-21  2.51948963e+03 -1.26857618e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.83118685e+00  2.51948960e+03 -1.29333954e+00  1.00000000e+00 -2.23196489e-21  2.51948960e+03 -1.29333954e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.90541029e+00  2.51948957e+03 -1.31857911e+00  1.00000000e+00 -2.18985003e-21  2.51948957e+03 -1.31857911e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+00  2.51948955e+03 -1.34430417e+00  1.00000000e+00 -2.14851857e-21  2.51948955e+03 -1.34430417e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.05819894e+00  2.51948952e+03 -1.37052421e+00  1.00000000e+00 -2.10795658e-21  2.51948952e+03 -1.37052421e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.13682040e+00  2.51948949e+03 -1.39724887e+00  1.00000000e+00 -2.06815032e-21  2.51948949e+03 -1.39724887e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.21696503e+00  2.51948946e+03 -1.42448799e+00  1.00000000e+00 -2.02908629e-21  2.51948946e+03 -1.42448799e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.29866235e+00  2.51948943e+03 -1.45225160e+00  1.00000000e+00 -1.99075117e-21  2.51948943e+03 -1.45225160e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.38194242e+00  2.51948939e+03 -1.48054994e+00  1.00000000e+00 -1.95313187e-21  2.51948939e+03 -1.48054994e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+00  2.51948936e+03 -1.50939340e+00  1.00000000e+00 -1.91621550e-21  2.51948936e+03 -1.50939340e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.55337410e+00  2.51948932e+03 -1.53879262e+00  1.00000000e+00 -1.87998938e-21  2.51948932e+03 -1.53879262e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
